Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y
03/01/2000,6961.72,7159.33,6720.87,6750.76,6024.38,6102.12,5901.77,5917.37
04/01/2000,6747.24,6755.36,6510.46,6586.95,5922.23,5925.07,5657.2,5672.02
05/01/2000,6585.85,6585.85,6388.91,6502.07,5521.83,5589.5,5461.59,5479.7
06/01/2000,6501.45,6539.31,6402.63,6474.92,5485.93,5530.26,5388.85,5450.11
07/01/2000,6489.94,6791.53,6470.14,6780.96,5423.88,5561.69,5423.88,5539.61
10/01/2000,6785.47,6975.26,6785.47,6925.52,5625.82,5717.44,5616.98,5646.12
11/01/2000,6926.04,6943.83,6821.26,6891.25,5726.51,5726.51,5571.99,5613.9
12/01/2000,6878.92,6913.5,6783.22,6912.81,5541.23,5628.73,5536.5,5582.5
13/01/2000,6913.13,7106.45,6898.69,6955.98,5586.25,5682.27,5579.49,5633.24
14/01/2000,6960.29,7207.45,6960.29,7173.22,5669.14,5804.16,5664.71,5787.44
17/01/2000,7177.48,7297.04,7112.97,7258.9,5834.75,5857.36,5740.19,5842.78
18/01/2000,7262.21,7306.48,7053.86,7072.12,5859.44,5859.44,5670.27,5672.95
19/01/2000,7065.31,7110.19,6987.12,7091.04,5664.92,5668.06,5590.19,5649.46
20/01/2000,7095.98,7230.75,7076.81,7112.66,5713.04,5727.82,5660.25,5709.74
21/01/2000,7103.7,7103.7,6939.94,6992.75,5656.1,5738.16,5630.63,5681.32
24/01/2000,6987.59,7092.5,6921.97,6931.99,5687.36,5777.68,5680.6,5690.86
25/01/2000,6928.08,6928.08,6809.64,6809.64,5601.18,5654.52,5590.17,5597.5
26/01/2000,6838.05,6980.93,6838.05,6969.37,5636.61,5687.43,5618.96,5646.32
27/01/2000,6983.42,7169.87,6944.65,7126.13,5671.64,5727.53,5625.23,5688.35
28/01/2000,7128.01,7214.58,7040.49,7066.6,5743.2,5813.28,5696.09,5731.05
31/01/2000,7054.24,7054.24,6816.54,6835.6,5677.79,5707.88,5625.72,5659.81
01/02/2000,6841.12,7052.22,6841.12,7050.46,5700.87,5798.47,5700.87,5773.42
02/02/2000,7063.57,7172.05,7038.71,7171.95,5814.26,5956.14,5811.36,5946.86
03/02/2000,7175.87,7354.56,7134.42,7354.26,6025.84,6149.67,5979.06,6149.67
04/02/2000,7355.69,7491.79,7338.15,7444.61,6197.4,6312.42,6192.86,6275.72
07/02/2000,7450.79,7450.79,7270.4,7296.32,6276.47,6336.68,6203.58,6203.58
08/02/2000,7295.61,7570.55,7263.19,7549.88,6252.31,6396.39,6232.95,6297.66
09/02/2000,7566.68,7676.56,7526.08,7629.11,6390.79,6396.97,6240.07,6271.6
10/02/2000,7617.07,7709.27,7496.42,7709.27,6212.56,6250.72,6168.66,6207.52
11/02/2000,7724.36,7812.09,7586.26,7611.55,6263.44,6324.06,6148.47,6287.01
14/02/2000,7569.01,7660.39,7542.3,7644.8,6241.91,6270.6,6191.76,6268.32
15/02/2000,7636.41,7699.97,7396.13,7396.13,6286.01,6330.01,6076.86,6092.63
16/02/2000,7401.26,7596.9,7342.65,7490.32,6160.42,6178.07,5997.77,6046.27
17/02/2000,7478.32,7637.46,7394.02,7580.53,6040,6222.87,6027.22,6154.96
18/02/2000,7584.39,7658.88,7543.5,7573.78,6166.12,6184,6044.22,6062.72
21/02/2000,7568.34,7590.53,7447.71,7590.53,5979.13,5994.04,5928.04,5967.28
22/02/2000,7580.38,7725.5,7540.36,7607.94,5986.85,6066.11,5920.61,5963.31
23/02/2000,7619.83,7772.28,7619.83,7698.97,6038.86,6064.21,5992.02,6031.25
24/02/2000,7696.92,7813.2,7587.08,7640.53,6106.32,6177.59,6069.51,6078.78
25/02/2000,7668.7,7776.84,7640.69,7738.68,6171.57,6202.53,6122.71,6188.64
28/02/2000,7732.9,7747.37,7492.23,7587.13,6181.05,6229.6,6031.69,6102.73
29/02/2000,7590.9,7700.36,7590.9,7644.55,6167.04,6264.25,6146.85,6190.96
01/03/2000,7645.3,7769.01,7618.6,7727.93,6272.13,6283.6,6184.51,6256.32
02/03/2000,7720.9,7950.66,7639.93,7945.77,6319.23,6479.43,6276.34,6477.55
03/03/2000,7952.28,8022.48,7874.57,7960.03,6448.34,6555.87,6432.74,6514.11
06/03/2000,7960.09,8030.59,7925.2,7975.78,6554.95,6590.35,6529.37,6545.98
07/03/2000,7971.23,8136.16,7922.32,8064.97,6507.26,6589.18,6437.04,6441.85
08/03/2000,8069.98,8097.68,7949.38,7987,6366.83,6439.06,6333.46,6344.97
09/03/2000,7984.21,8084.92,7877.19,7949.15,6429.34,6447.73,6359.41,6423.43
10/03/2000,7952.51,8076.31,7952.51,7975.95,6543.19,6561.34,6465.05,6510.28
13/03/2000,7977.06,7991.07,7630.31,7693.85,6477.47,6483.81,6254.38,6336.93
14/03/2000,7695.79,7757.03,7630.1,7650.05,6331.22,6376.81,6271.59,6350.35
15/03/2000,7633.2,7633.2,7411.76,7414.46,6242.79,6249.66,6144.07,6188.94
16/03/2000,7416.64,7648.28,7416.64,7583.96,6217.62,6335.9,6216.97,6258.53
17/03/2000,7594.99,7834.54,7574.52,7710.92,6439.83,6447.17,6281.77,6304.28
20/03/2000,7716.24,7887.97,7716.24,7872.38,6328.04,6417.63,6319.48,6352.51
21/03/2000,7865.48,7865.48,7735.74,7807.93,6320.12,6334.62,6253.72,6320.87
22/03/2000,7827.56,7949.72,7787.09,7798.62,6401.45,6460.81,6270.44,6279.29
23/03/2000,7803.69,7873.03,7677.08,7694.78,6313.05,6337.32,6176.62,6268.31
24/03/2000,7706.5,7932.42,7706.5,7932.42,6344.79,6367.57,6283.39,6364.26
27/03/2000,7932.71,7939.92,7832.06,7892.49,6409.58,6459.63,6369.01,6450.85
28/03/2000,7891.15,8031.21,7880.12,7931.93,6427.68,6584.37,6424.46,6524.3
29/03/2000,7930.82,7963.7,7859.44,7864.76,6496.45,6567.95,6486.55,6505.48
30/03/2000,7834.56,7849.53,7610.51,7644.89,6454.36,6454.9,6289.98,6313.82
31/03/2000,7649.88,7704.28,7522.7,7599.39,6241.75,6359.51,6166.82,6286.05
03/04/2000,7599.78,7641.53,7404.37,7429.22,6382.28,6382.28,6083.08,6130.27
04/04/2000,7431.42,7566.92,7430.18,7522.8,6138,6250.09,6138,6221.94
05/04/2000,7502.09,7538.72,7205.86,7330.77,6189.7,6216.13,5913.71,6036.94
06/04/2000,7345.01,7480.13,7325.72,7446.21,6148.74,6243.42,6093.3,6224.02
07/04/2000,7470.39,7533.36,7399.81,7522.2,6342.2,6347.75,6207.76,6308.04
10/04/2000,7534.91,7614.81,7507.93,7516.95,6393.7,6429.51,6350.78,6364.9
11/04/2000,7513.12,7513.12,7366.49,7442.66,6253.59,6316.8,6201.51,6261.42
12/04/2000,7438.26,7517.75,7414.38,7443.07,6303.5,6325.77,6190.96,6238.7
13/04/2000,7421.06,7450.39,7302.82,7449.06,6109.87,6286.97,6072.89,6264.34
14/04/2000,7440.05,7440.05,7168.9,7214.83,6225.59,6254.45,6050.19,6065.71
17/04/2000,7201.66,7201.66,6890.96,7187.14,5772.87,6083.23,5752.44,6060.54
18/04/2000,7186.18,7305.03,7094.92,7196.49,6163.91,6175.66,5986.14,6147.44
