Date,Open,High,Low,Close
10/09/2014,226.15,228.6,225.25,228.25
09/09/2014,224.95,227.75,224.2,225.9
08/09/2014,225,225.75,220.65,224.9
05/09/2014,231.5,232.5,225.7,226.25
04/09/2014,228.6,232.2,226.4,230.75
03/09/2014,225.1,229.75,223.8,228.1
02/09/2014,223.85,225.75,218.35,222.35
01/09/2014,224.9,227.75,222.9,224.1
29/08/2014,224.15,226.2,222.95,224.45
28/08/2014,225.65,226.49,223.54,224.05
27/08/2014,225.25,227,224.7,225.9
26/08/2014,225.6,227.45,224.3,225.25
25/08/2014,222.8,222.8,222.8,222.8
22/08/2014,221.8,223.6,219.75,222.8
21/08/2014,221,221.45,218.75,220.8
20/08/2014,220.85,221.95,219.1,220.7
19/08/2014,221.45,222.05,219.5,221.2
18/08/2014,218.85,220.4,217.8,219.6
15/08/2014,219.05,220.9,217.45,217.6
14/08/2014,219.4,221,217.4,218
13/08/2014,218.25,221.29,218,219.35
12/08/2014,216.95,219.9,215.43,217
11/08/2014,215.9,218,214.4,216.25
08/08/2014,211.75,216.2,210.35,214.2
07/08/2014,217.85,218.1,212.85,213.4
06/08/2014,218.6,221.35,214.75,217.55
05/08/2014,224.4,224.98,220.38,221.9
04/08/2014,225.1,227.41,222.4,223.95
01/08/2014,226.05,227.3,221.75,224.25
31/07/2014,227.4,229.21,225.2,225.7
30/07/2014,225.85,230.87,224.15,228.4
29/07/2014,218.55,221.95,217.88,219.1
28/07/2014,218.5,220.36,216.05,218.15
25/07/2014,214.95,220.07,214.65,218.05
24/07/2014,211.65,214.75,209.6,214.5
23/07/2014,209.7,212.85,208.35,210.95
22/07/2014,211,212.58,209.7,210.6
21/07/2014,210.8,212.25,208.65,210.2
18/07/2014,209.95,211.8,207.5,211.8
17/07/2014,213.9,215,209.85,210.2
16/07/2014,212,217.61,211.21,216
15/07/2014,209.5,213.25,207.35,210.65
14/07/2014,206.85,211.57,205.35,209.6
11/07/2014,208.3,209.98,206.5,207.9
10/07/2014,211.6,211.85,201.75,208
