Date,Open,High,Low,Close
10/09/2014,659.2,664,656.85,661
09/09/2014,658.9,663.44,658.2,660.5
08/09/2014,659.7,662.1,655.1,662.1
05/09/2014,662.2,664.8,646.01,660.4
04/09/2014,655.3,661.3,653.1,660.2
03/09/2014,653.2,659.4,653.15,657.9
02/09/2014,649.2,650.9,645.4,647.1
01/09/2014,650.5,651.5,642.9,647.5
29/08/2014,649.8,654,648.6,652
28/08/2014,646.7,648.97,644.5,647
27/08/2014,647.3,652.1,645.14,649.3
26/08/2014,650.1,656.5,645.9,648.7
25/08/2014,644.2,644.2,644.2,644.2
22/08/2014,644.2,648.7,642.7,644.2
21/08/2014,643,644.08,640.3,640.9
20/08/2014,643.6,644.77,638.5,640.8
19/08/2014,645.2,649.8,644.4,648.4
18/08/2014,642.8,646.2,641.3,646
15/08/2014,649.9,651.1,643,643.5
14/08/2014,638.8,652.9,638.7,651.4
13/08/2014,631.6,640.3,630.1,638.3
12/08/2014,625.7,633.2,623.5,630.1
11/08/2014,631.5,632.1,624.5,625.9
08/08/2014,628.7,634.2,622.83,627.5
07/08/2014,630.5,635.1,626.3,628.7
06/08/2014,633.8,638.4,628.99,632.1
05/08/2014,634.9,641.99,632.4,634
04/08/2014,631.3,649.4,616.1,635
01/08/2014,634.7,635.5,626.07,629.3
31/07/2014,638.7,640,634.6,636.4
30/07/2014,638.7,643.5,632.09,641.5
29/07/2014,632,640.66,630.9,637.5
28/07/2014,625.1,632.9,618.47,630.9
25/07/2014,619,625.8,614.64,621.7
24/07/2014,609.6,622.6,606.9,621
23/07/2014,603.6,610.95,603.3,607.3
22/07/2014,602,607.53,602,604.9
21/07/2014,597.7,600.2,594.8,597.1
18/07/2014,597.1,600.6,592.8,599.2
17/07/2014,601.7,603.9,596.5,599.2
16/07/2014,599.6,606.51,599.2,605.1
15/07/2014,597.8,601.7,594.7,596.6
14/07/2014,593.2,602.58,592.7,599.4
11/07/2014,589.9,595.4,588.1,592.3
10/07/2014,595.4,595.7,585,589
09/07/2014,596.4,597.5,593.3,596.5
08/07/2014,602.7,604.3,594.5,594.5
07/07/2014,606,607.1,602,603.3
04/07/2014,605.8,608.8,604.5,607.3
03/07/2014,602.2,607.8,601.6,607.1
02/07/2014,599.8,604.6,598,601.3
01/07/2014,594,599.5,593.4,598.2
30/06/2014,595.2,604.38,591.9,592.9
27/06/2014,596.8,599.8,593.5,597
26/06/2014,604.4,605.3,592.3,594.6
25/06/2014,606.3,606.4,599,601.6
24/06/2014,606.3,607.95,604.43,605.4
23/06/2014,607.3,609.93,603.9,606.4
20/06/2014,610.7,613.3,607.4,609.4
19/06/2014,612.8,615.9,610.3,610.3
18/06/2014,614.5,617,609.8,610.1
17/06/2014,612.5,615,610.03,612.1
16/06/2014,616.2,616.5,611.7,612
13/06/2014,621,621.2,612,616.4
12/06/2014,622.5,623.7,620.3,621
11/06/2014,623,642.86,618.9,620.9
10/06/2014,628.9,629.8,622.3,624.9
09/06/2014,624.3,628.3,624.3,628.3
06/06/2014,621.2,626.2,619.6,624
05/06/2014,623.5,625.97,618.2,620.9
04/06/2014,626.6,628.9,620.9,623
03/06/2014,626.5,627.8,621.3,624
02/06/2014,630.6,631.97,626,626.8
30/05/2014,628.3,631.5,626.3,629.2
29/05/2014,631.3,632.7,626,627.9
28/05/2014,626.1,631.36,619.5,629.2
27/05/2014,620.9,623.93,619.5,621.2
26/05/2014,614.8,614.8,614.8,614.8
23/05/2014,615.6,619.7,614.1,614.8
22/05/2014,619.7,619.7,613.8,616.1
21/05/2014,618.8,621.04,614.9,618.5
20/05/2014,632.1,635.33,623.5,627.1
19/05/2014,629.1,634.64,628.1,632.9
16/05/2014,623.7,634.42,622.7,632.5
15/05/2014,618.1,629,610.54,625
14/05/2014,611,618.7,606,617.5
13/05/2014,606,611.1,605.6,611
12/05/2014,603,642.9,601.9,606.3
09/05/2014,593.6,596.88,590.4,596
08/05/2014,596.4,597.8,587.4,593.8
07/05/2014,592.1,635.3,590,596.5
06/05/2014,603.5,650.6,589.88,604.1
05/05/2014,605.7,605.7,605.7,605.7
02/05/2014,605.9,609,601.8,605.7
01/05/2014,605.1,737,603.76,607.4
30/04/2014,605.3,607.36,589.88,604.1
29/04/2014,604.7,611.51,604.5,611.1
28/04/2014,604.1,606.29,600.84,600.9
25/04/2014,607.3,608.17,599,602.5
24/04/2014,613.5,618.61,611.6,613
23/04/2014,614.1,614.6,607.5,612.2
22/04/2014,618.2,620.4,614.8,614.9
21/04/2014,617.4,617.4,617.4,617.4
18/04/2014,617.4,617.4,617.4,617.4
17/04/2014,616,619.3,610.8,617.4
16/04/2014,620.1,620.7,614.1,616.3
15/04/2014,618.9,622.82,593.09,617.9
14/04/2014,617.2,623.08,592.99,621.4
11/04/2014,619.9,623.4,614.9,617.6
10/04/2014,616.7,622.47,616.6,618.7
09/04/2014,609.9,615,608.82,612.7
08/04/2014,606.5,610.2,602.4,605
07/04/2014,610,613.15,604.2,606.2
04/04/2014,613.1,628.4,611.3,612.5
03/04/2014,610.7,614.9,604.75,610.5
02/04/2014,612.4,613.9,609.6,611.2
01/04/2014,609,615.7,606.7,613
31/03/2014,611.2,611.2,604.7,607.5
28/03/2014,610.5,613.52,606.6,611
27/03/2014,609,609.3,605.3,608.3
26/03/2014,610.8,615.6,608.7,611.2
25/03/2014,607.8,613.8,607.8,611.7
24/03/2014,605.5,610.5,605.5,606.2
21/03/2014,596.8,614.3,596.2,605.7
20/03/2014,591,597.58,589.88,594.2
19/03/2014,593.9,598.64,591.4,591.8
18/03/2014,597.4,608.1,594.2,597.9
17/03/2014,598.6,600.8,595.3,597
14/03/2014,600.9,603.8,597.1,598.1
13/03/2014,602,606.59,597.14,597.2
12/03/2014,608.6,610,598.85,599.2
11/03/2014,621.3,621.5,613.5,616.6
10/03/2014,619.5,625.4,614.2,615.7
07/03/2014,624.6,626.5,618.59,619.6
06/03/2014,627.4,629,624.3,625.7
05/03/2014,630.2,630.5,622.3,622.6
04/03/2014,629.2,635.4,626,631.7
03/03/2014,622,624.3,616.93,622.6
28/02/2014,634.5,635.3,628.1,629.7
27/02/2014,633.2,636.9,624.1,635.9
26/02/2014,626.5,630.3,623.3,627.1
25/02/2014,630.9,635.7,624.39,627
24/02/2014,650.1,651.79,617,635.7
21/02/2014,654.6,672.65,650.3,654.2
20/02/2014,646.9,654.54,645.8,652.1
19/02/2014,656.2,661.49,651.19,656.6
18/02/2014,644.5,656.8,643,656.3
17/02/2014,637,650.83,636.5,647.5
14/02/2014,637.3,641.3,633.37,638
13/02/2014,633.5,638.9,630.4,638.2
12/02/2014,635.7,644.41,635.1,636.4
11/02/2014,627.6,635.7,627,635.4
10/02/2014,624,631.07,621.3,624.1
07/02/2014,627.1,629.6,622.1,627.8
06/02/2014,624.2,631.6,621.6,628.1
05/02/2014,622.5,629.4,620,624.1
04/02/2014,622.3,629.75,620,624.6
03/02/2014,627.5,631.5,620.5,621.5
31/01/2014,629.6,629.8,618.4,627
30/01/2014,626.2,688,623.3,630.2
29/01/2014,637.2,637.64,619.59,626.3
28/01/2014,636.3,639.47,633.7,633.8
27/01/2014,642.7,644.4,633.1,635.1
24/01/2014,655,657.1,644.1,645.9
23/01/2014,663.2,668.79,658.1,659
22/01/2014,672.9,675,668.4,668.9
21/01/2014,674.3,678.5,672.1,673.9
20/01/2014,674.7,675.8,672.01,673
17/01/2014,676,681.1,675.03,677.7
16/01/2014,679.5,683.3,673.3,673.9
15/01/2014,675.2,682.9,673.6,681
14/01/2014,671,676.97,668.8,672.9
13/01/2014,674.9,679.2,674,677
10/01/2014,670.1,683,669.9,675.6
09/01/2014,668.9,673.2,665,668.1
08/01/2014,673.1,677.94,671.91,674.5
07/01/2014,659.8,678.4,659.6,675.8
06/01/2014,658.1,664.3,656.39,660
03/01/2014,653,659.39,649.8,656.4
02/01/2014,658.4,661.2,654.6,659.7
01/01/2014,662.4,662.4,662.4,662.4
31/12/2013,660.7,665.41,659.5,662.4
30/12/2013,659.2,662.5,651,659.1
27/12/2013,657,663.75,656.7,662.4
26/12/2013,661.2,661.2,661.2,661.2
25/12/2013,661.2,661.2,661.2,661.2
24/12/2013,658.1,665.6,658.1,661.2
23/12/2013,651,660.8,651,660.8
20/12/2013,649.8,655.3,646.8,652
19/12/2013,648,652.51,639.7,647.7
18/12/2013,649.2,654,646.8,648.3
17/12/2013,649.8,649.9,645.3,647
16/12/2013,645.1,655.9,644.4,653.5
13/12/2013,651,651.6,645.3,646.5
12/12/2013,650.2,654.85,641.4,647.1
11/12/2013,650,669.16,649.1,649.8
10/12/2013,656.8,657.8,650.2,652.1
09/12/2013,663.9,666.26,654.6,657.7
06/12/2013,662,662.54,651.8,659.3
05/12/2013,660.4,672.3,655.4,656.4
04/12/2013,670.8,670.9,656.7,659.8
