Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y,tr,atr,diff,diff_mx,diff_mn,st5,diff_MA,diff_MAD,,Bar,hsbc
01/01/2010,708.8,708.8,708.8,708.8,276,276,276,276,NA,NA,432.8,NA,NA,NA,NA,NA,,0.35,0.76
04/01/2010,713.3,726.5,713,726.5,278.5,281.6,275.05,280.55,17.7,NA,445.95,NA,NA,NA,NA,NA,,,
05/01/2010,723,747.2,723,737,281.95,300.85,279.5,298.1,24.2,NA,438.9,NA,NA,NA,NA,NA,,,
06/01/2010,737.1,744,734.2,740.4,300.35,307,295.4,307,9.8,NA,433.4,NA,NA,NA,NA,NA,,,
07/01/2010,735.1,742.4,730.1,736.5,306.95,318.95,303.9,315.5,12.3,NA,421,445.95,421,0,434.41,-13.41,,,
08/01/2010,740.2,742.5,729,740,322,326,318.35,320.55,13.5,NA,419.45,445.95,419.45,0,431.74,-12.29,,,
11/01/2010,740.6,746.1,728.2,730,324,328.5,316.3,317,17.9,NA,413,438.9,413,0,425.15,-12.15,,,
12/01/2010,733.3,734.9,720.5,728.4,316.25,318.55,311.65,316.6,14.4,NA,411.8,433.4,411.8,0,419.73,-7.93,1.2,,
13/01/2010,719.4,724.5,714.1,717.7,312.25,314.3,310.5,313.7,14.3,NA,404,421,404,0,413.85,-9.85,7.8,,
14/01/2010,720.8,723,711.8,714.6,317.6,322,315.75,318.65,11.2,NA,395.95,419.45,395.95,0,408.84,-12.89,8.05,,
15/01/2010,718.5,726.8,699.7,702.5,318.3,322.1,310.5,311.2,27.1,NA,391.3,413,391.3,0,403.21,-11.91,4.65,,
18/01/2010,704.8,706.3,694.4,699,313,319.25,310,317.75,11.9,NA,381.25,411.8,381.25,0,396.86,-15.61,10.05,,
19/01/2010,695.1,701,681.2,698.3,313.5,315,308.6,312.1,19.8,NA,386.2,404,381.25,22,391.74,-5.54,4.95,,
20/01/2010,694,703.7,681.7,683.4,308.25,310.6,297.9,300.85,22,NA,382.55,395.95,381.25,9,387.45,-4.9,3.65,,
21/01/2010,688.5,699,675,675,302.15,305.25,283,283,24,17.15,392,392,381.25,100,386.66,5.34,9.45,,
22/01/2010,674.6,681.9,653.3,673.6,279,280,255.1,271.35,28.6,17.96785714,402.25,402.25,381.25,100,388.85,13.4,10.25,,
25/01/2010,669,687.3,669,674.8,267,280.85,265.15,276,18.3,17.99158163,398.8,402.25,382.55,82,392.36,6.44,3.45,,
26/01/2010,668,677.2,664.5,673.6,273,278.25,267.5,276,12.7,17.61361152,397.6,402.25,382.55,76,394.64,2.96,1.2,,
27/01/2010,667.9,673,654.9,663,271.8,272.65,262.45,266.85,18.7,17.69121069,396.15,402.25,392,40,397.36,-1.21,,,
28/01/2010,675.9,677.6,660,660,273.95,281.8,264.95,264.95,17.6,17.68469564,395.05,402.25,395.05,0,397.97,-2.92,,,
29/01/2010,668,684.9,666,677.3,269,276.1,266.5,270.55,24.9,18.20007453,406.75,406.75,395.05,100,398.87,7.88,,,
01/02/2010,675,687.3,671.5,687,270,282.9,267.25,282.2,15.8,18.02864063,404.8,406.75,395.05,83,400.07,4.73,,,
02/02/2010,684.4,690,678.8,683.5,283.65,291.8,283.5,289.65,11.2,17.54088059,393.85,406.75,393.85,0,399.32,-5.47,,,
03/02/2010,686.6,694.6,678.7,681.3,294.7,301,292.1,295.35,15.9,17.42367483,385.95,406.75,385.95,0,397.28,-11.33,,,
04/02/2010,675.4,675.4,675.4,675.4,362.45,362.45,362.45,362.45,5.9,16.6005552,312.95,406.75,312.95,0,380.86,-67.91,,,
05/02/2010,660,661,645.5,648,270,279.2,257,269,29.9,17.55051554,379,404.8,312.95,72,375.31,3.69,,,
08/02/2010,655.7,657.4,638.3,648.4,273.05,278,257.7,268,19.1,17.661193,380.4,393.85,312.95,83,370.43,9.97,,,
09/02/2010,650,660,646.3,650.3,266.65,277.75,262.7,269.3,13.7,17.37825065,381,385.95,312.95,93,367.86,13.14,,,
10/02/2010,656.9,667.9,652.6,658.2,272.8,281.9,272.8,277.85,17.6,17.39408989,380.35,381,312.95,99,366.74,13.61,,,
11/02/2010,668.7,670.8,650.6,657,280.2,282,264.5,268.35,20.2,17.59451204,388.65,388.65,379,100,381.88,6.77,,,
12/02/2010,659.9,660.6,642.3,649.7,268.8,272.65,255,262,18.3,17.64490403,387.7,388.65,380.35,89,383.62,4.08,,,
15/02/2010,652.1,659.7,651.5,657,266.2,275.45,265.25,275.05,10,17.09883946,381.95,388.65,380.35,19,383.93,-1.98,,,
16/02/2010,666.8,684.6,661.9,667.8,301.65,301.65,290,293.75,27.6,17.84892236,374.05,388.65,374.05,0,382.54,-8.49,,,
