Date,Open,High,Low,Close
08/09/2014,126.68,126.75,125.69,126.21
05/09/2014,127.15,127.44,126.16,127.4
04/09/2014,128.21,128.46,126.2,126.8
03/09/2014,128.45,128.88,127.67,127.86
02/09/2014,129.2,129.38,127.06,127.54
29/08/2014,129,129.53,128.5,129.45
28/08/2014,128.28,128.9,128.25,128.75
27/08/2014,128.41,128.82,128.19,128.64
26/08/2014,128.06,128.71,127.94,128.25
25/08/2014,127.57,128.07,127.38,127.84
22/08/2014,127.02,127.5,126.47,127.11
21/08/2014,127.68,128.18,127.18,127.93
20/08/2014,127.25,127.6,126.78,127.49
19/08/2014,126.72,127.7,126.55,127.63
18/08/2014,126.27,126.59,125.63,126.3
15/08/2014,126.42,126.79,125.68,126.1
14/08/2014,127.68,127.7,126.53,126.96
13/08/2014,127.64,128.24,126.87,127.6
12/08/2014,127.14,127.28,126.26,127.09
11/08/2014,128.16,128.67,127.54,127.71
08/08/2014,126.07,127.96,125.91,127.86
07/08/2014,126.19,126.73,124.83,125.65
06/08/2014,124.9,126.97,124.8,125.73
05/08/2014,127.81,127.81,124.58,124.96
04/08/2014,127.69,128.36,126.03,128.17
01/08/2014,127.76,128.96,126.36,127.9
31/07/2014,131.73,131.97,129.1,129.24
30/07/2014,132.97,133.69,131.5,132.53
29/07/2014,132.9,133.72,132.42,132.42
28/07/2014,133.56,133.8,132.89,133.24
25/07/2014,134.58,134.61,133.06,133.57
24/07/2014,134.03,135.1,133.69,134.85
23/07/2014,132.7,133.93,132.48,133.88
22/07/2014,131.55,133.2,131.55,132.58
21/07/2014,130.11,131.34,130.01,131.29
18/07/2014,130.64,130.73,129.58,130.39
17/07/2014,130.64,131.5,129.88,130.08
16/07/2014,129.89,130.94,129.69,130.89
15/07/2014,129.07,129.5,128.61,129.26
14/07/2014,128.8,129.5,128.38,129.26
11/07/2014,129.13,129.89,128.03,128.47
10/07/2014,130.48,130.86,129.9,130.25
09/07/2014,130.27,131.69,129.99,131.39
08/07/2014,129.7,130.38,129.52,129.9
07/07/2014,130.44,130.64,130.02,130.47
03/07/2014,131.44,131.59,130.72,131.19
02/07/2014,130.53,130.92,129.99,130.23
01/07/2014,130.94,131.42,130.46,130.54
30/06/2014,130.15,130.63,129.37,130.55
27/06/2014,130.73,130.95,129.3,130.36
26/06/2014,131.21,131.22,129.53,130.92
25/06/2014,131.34,132.36,131.01,131.23
24/06/2014,132.74,133.46,131.71,131.77
23/06/2014,132.52,133.57,132.42,132.98
20/06/2014,131.95,132.4,130.88,132.34
19/06/2014,130.29,132,129.91,131.99
18/06/2014,128.96,130.5,128.36,130.28
17/06/2014,127.9,129.04,127.57,128.83
16/06/2014,127.15,128.81,127.14,128.54
13/06/2014,125.94,127.26,125.9,127.26
12/06/2014,125.73,126.23,125.42,126.11
11/06/2014,125.13,125.47,124.62,125.18
10/06/2014,124.98,125.37,124.15,125.34
09/06/2014,124.01,124.64,123.88,124.37
06/06/2014,123.7,124.7,123.54,124.19
05/06/2014,122.53,123.78,122.46,123.52
04/06/2014,122.32,122.68,122,122.35
03/06/2014,122.39,122.82,121.72,122.55
02/06/2014,122.93,123.04,122.01,122.21
30/05/2014,122.24,122.88,122.01,122.79
29/05/2014,122.89,122.9,121.65,122.32
28/05/2014,122.9,123.31,122.52,122.52
27/05/2014,123.76,123.99,122.75,122.84
23/05/2014,124.1,124.36,123.33,123.37
22/05/2014,124.1,124.41,123.56,123.63
21/05/2014,123,124.36,122.94,124.16
20/05/2014,122.95,123.1,122.24,122.5
19/05/2014,122.95,123.42,122.85,122.95
16/05/2014,123.96,124.35,122.89,123.18
