"Date","Open.x","High.x","Low.x","Close.x","Open.y","High.y","Low.y","Close.y","tr","atr","diff","diff_mx","diff_mn","st5","diff_MA","diff_MAD"
2010-01-04,78.2,79.2,78.16,79.06,68.72,69.26,68.19,69.15,NA,NA,9.91,NA,NA,NA,NA,NA
2010-01-05,79.22,79.62,78.72,79.62,69.19,69.45,68.8,69.42,0.900000000000006,NA,10.2,NA,NA,NA,NA,NA
2010-01-06,79.44,80,79.19,79.63,69.45,70.6,69.34,70.02,0.810000000000002,NA,9.61,NA,NA,NA,NA,NA
2010-01-07,79.36,79.7,78.97,79.33,69.9,70.06,69.42,69.8,0.730000000000004,NA,9.53,NA,NA,NA,NA,NA
2010-01-08,79.12,79.47,78.89,79.47,69.69,69.75,69.22,69.52,0.579999999999998,NA,9.95,10.2,9.53,63,9.84,0.110000000000003
2010-01-11,80.17,81.09,80.06,80.88,69.94,70.52,69.65,70.3,1.62,NA,10.58,10.58,9.53,100,9.97,0.609999999999998
2010-01-12,79.52,80.45,79.47,80.41,69.72,69.99,69.52,69.95,1.41,NA,10.46,10.58,9.53,89,10.03,0.429999999999994
2010-01-13,80.27,80.41,79.09,79.8,69.96,70.04,69.26,69.67,1.31999999999999,NA,10.13,10.58,9.53,57,10.13,-5.32907051820075e-15
2010-01-14,79.63,79.8,79.15,79.55,69.54,69.74,69.35,69.68,0.649999999999991,NA,9.86999999999999,10.58,9.86999999999999,0,10.2,-0.330000000000009
2010-01-15,79.54,79.69,78.28,79.23,69.65,69.69,68.65,69.11,1.41,NA,10.12,10.58,9.86999999999999,35,10.23,-0.109999999999996
2010-01-19,78.96,79.75,78.57,79.68,68.74,69.35,68.42,69.27,1.18000000000001,NA,10.41,10.46,9.86999999999999,92,10.2,0.210000000000012
2010-01-20,78.71,78.93,77.65,78.15,68.56,68.66,67.93,68.03,2.03,NA,10.12,10.41,9.86999999999999,46,10.13,-0.00999999999999623
2010-01-21,78.15,78.18,76.06,76.24,68.12,68.15,66.5,66.7,2.12,NA,9.53999999999999,10.41,9.53999999999999,0,10.01,-0.470000000000008
2010-01-22,75.98,76.59,74.43,74.59,66.52,67.14,66,66.1,2.16,NA,8.49000000000001,10.41,8.49000000000001,0,9.74,-1.24999999999999
2010-01-25,75.15,75.27,74.09,74.55,66.55,66.76,65.69,65.85,1.17999999999999,1.29285714285714,8.7,10.41,8.49000000000001,11,9.45,-0.749999999999996
2010-01-26,74.08,74.88,73.7,74.15,65.64,66.74,65.5,65.92,1.17999999999999,1.28479591836735,8.23,10.12,8.23,0,9.02,-0.789999999999996
2010-01-27,73.94,74.36,73.13,73.7,65.66,66.06,65,65.54,1.23,1.28088192419825,8.16,9.53999999999999,8.16,0,8.62,-0.460000000000003
2010-01-28,73.97,74.18,72.32,73.24,65.85,65.85,64.57,64.96,1.86000000000001,1.32224750104123,8.28,8.7,8.16,22,8.37,-0.0899999999999981
2010-01-29,73.53,74.07,71.75,72.12,65.15,65.82,64.02,64.43,2.31999999999999,1.39351553668115,7.69,8.7,7.69,0,8.21,-0.520000000000003
2010-02-01,72.7,73.74,72.14,73.58,65.77,66.41,65.35,66.18,1.61999999999999,1.40969299834678,7.39999999999999,8.28,7.39999999999999,0,7.95,-0.550000000000009
2010-02-02,73.74,74.58,73,74.45,66.73,67.12,66.47,66.96,1.58,1.42185778417915,7.49000000000001,8.28,7.39999999999999,10,7.8,-0.309999999999991
2010-02-03,74.18,74.36,73.05,73.21,66.88,67.23,66.56,66.6,1.40000000000001,1.42029651388064,6.61,8.28,6.61,0,7.49,-0.880000000000001
2010-02-04,72.56,72.83,71.06,71.37,66.27,66.35,64.68,64.72,2.14999999999999,1.47241819146059,6.65000000000001,7.69,6.61,4,7.17,-0.519999999999994
2010-02-05,71,71.24,69.55,71.18,64.7,64.9,63.56,64.8,1.82000000000001,1.49724546349912,6.38000000000001,7.49000000000001,6.38000000000001,0,6.91,-0.52999999999999
2010-02-08,71.24,71.45,70.13,70.13,64.91,65.49,64.34,64.35,1.32000000000001,1.48458507324919,5.78,7.49000000000001,5.78,0,6.58,-0.799999999999999
2010-02-09,70.89,72.03,70.82,71.31,65.11,65.71,64.56,65.2,1.90000000000001,1.5142575680171,6.11,6.65000000000001,5.78,38,6.31,-0.2
2010-02-10,71.02,71.23,70,70.75,65.08,65.22,64.16,64.85,1.31,1.49966774173017,5.90000000000001,6.65000000000001,5.78,14,6.16,-0.259999999999994
2010-02-11,70.72,72.11,70.31,71.73,64.69,65.48,64.41,65.24,1.8,1.5211200458923,6.49000000000001,6.49000000000001,5.78,100,6.13,0.360000000000009
2010-02-12,70.54,71.3,70.17,71.01,64.62,65.14,64.28,64.8,1.56,1.52389718547142,6.21000000000001,6.49000000000001,5.78,61,6.1,0.110000000000008
2010-02-16,71.99,73.32,71.93,72.99,65.44,66.38,65.08,66.28,2.30999999999999,1.58004738650917,6.70999999999999,6.70999999999999,5.90000000000001,100,6.28,0.429999999999993
2010-02-17,73.22,73.43,72.46,72.84,66.34,66.45,65.57,65.76,0.970000000000013,1.53647257318709,7.08,7.08,5.90000000000001,100,6.48,0.599999999999998
2010-02-18,72.69,73.72,72.34,73.62,65.8,66.09,65.35,65.96,1.38,1.52529596081658,7.66000000000001,7.66000000000001,6.21000000000001,100,6.83,0.830000000000011
2010-02-19,73.44,74.38,73.21,74.05,65.59,66.24,65.43,65.87,1.17,1.49991767790111,8.17999999999999,8.17999999999999,6.21000000000001,100,7.17,1.00999999999999
2010-02-22,74.17,74.22,72.79,72.96,66.1,66.12,65.25,65.4,1.42999999999999,1.49492355805103,7.55999999999999,8.17999999999999,6.70999999999999,58,7.44,0.119999999999988
2010-02-23,72.6,72.93,71.77,72.04,65.26,65.56,64.15,64.94,1.19,1.47314330390453,7.10000000000001,8.17999999999999,7.08,2,7.52,-0.419999999999991
2010-02-24,72.12,72.45,71.61,72.34,65.01,65.87,64.77,65.55,0.840000000000003,1.42791878219707,6.79000000000001,8.17999999999999,6.79000000000001,0,7.46,-0.669999999999994
2010-02-25,71.19,72.19,70.78,72.11,64.61,65.17,64.37,65.14,1.56,1.43735315489728,6.97,8.17999999999999,6.79000000000001,13,7.32,-0.350000000000001
2010-02-26,72.19,72.69,71.82,72.3,65.26,65.4,64.92,65,0.870000000000005,1.39682792954747,7.3,7.55999999999999,6.79000000000001,66,7.14,0.159999999999997
2010-03-01,72.63,73.18,72.39,72.81,65.36,65.54,65.09,65.4,0.88000000000001,1.35991164886551,7.41,7.41,6.79000000000001,100,7.11,0.299999999999996
2010-03-02,73.18,73.91,73.01,73.32,65.66,65.79,65.15,65.49,1.09999999999999,1.3413465310894,7.83,7.83,6.79000000000001,100,7.26,0.569999999999999
2010-03-03,73.63,73.85,73.06,73.13,65.77,65.97,65.38,65.43,0.789999999999992,1.30196463601159,7.69999999999999,7.83,6.97,85,7.44,0.259999999999988
2010-03-04,73.07,73.5,72.71,73.08,65.35,65.63,65.08,65.4,0.790000000000006,1.26539573343933,7.67999999999999,7.83,7.3,72,7.58,0.0999999999999925
2010-03-05,73.55,74.47,73.51,74.3,65.96,66.52,65.78,66.47,1.39,1.27429603819366,7.83,7.83,7.41,100,7.69,0.139999999999998
