"Date","Open.x","High.x","Low.x","Close.x","Open.y","High.y","Low.y","Close.y","tr","atr","diff","diff_mx","diff_mn","st5","diff_MA","diff_MAD"
2010-01-04,78.2,79.2,78.16,79.06,65.82,66.08,65.63,65.88,NA,NA,13.18,NA,NA,NA,NA,NA
2010-01-05,79.22,79.62,78.72,79.62,66.02,66.31,65.62,66.03,0.900000000000006,NA,13.59,NA,NA,NA,NA,NA
2010-01-06,79.44,80,79.19,79.63,65.69,66.32,65.65,66.01,0.810000000000002,NA,13.62,NA,NA,NA,NA,NA
2010-01-07,79.36,79.7,78.97,79.33,65.69,65.95,65.34,65.86,0.730000000000004,NA,13.47,NA,NA,NA,NA,NA
2010-01-08,79.12,79.47,78.89,79.47,65.63,66.26,65.44,66.26,0.579999999999998,NA,13.21,13.62,13.18,7,13.41,-0.200000000000006
2010-01-11,80.17,81.09,80.06,80.88,67.44,67.52,67,67.25,1.62,NA,13.63,13.63,13.21,100,13.5,0.129999999999995
2010-01-12,79.52,80.45,79.47,80.41,65.8,66.47,65.7,66.07,1.41,NA,14.34,14.34,13.21,100,13.65,0.690000000000003
2010-01-13,80.27,80.41,79.09,79.8,65.91,66,65.02,65.75,1.31999999999999,NA,14.05,14.34,13.21,74,13.74,0.309999999999997
2010-01-14,79.63,79.8,79.15,79.55,64.81,65.27,64.72,65.1,0.649999999999991,NA,14.45,14.45,13.21,100,13.94,0.510000000000003
2010-01-15,79.54,79.69,78.28,79.23,64.12,64.17,62.96,63.41,1.41,NA,15.82,15.82,13.63,100,14.46,1.36000000000001
2010-01-19,78.96,79.75,78.57,79.68,63.66,64.96,63.66,64.9,1.18000000000001,NA,14.78,15.82,14.05,41,14.69,0.0900000000000016
2010-01-20,78.71,78.93,77.65,78.15,63.17,63.34,62.32,63,2.03,NA,15.15,15.82,14.05,62,14.85,0.300000000000006
2010-01-21,78.15,78.18,76.06,76.24,63.41,63.64,61.14,61.3,2.12,NA,14.94,15.82,14.45,36,15.03,-0.0900000000000016
2010-01-22,75.98,76.59,74.43,74.59,61,61.33,60.11,60.13,2.16,NA,14.46,15.82,14.46,0,15.03,-0.569999999999999
2010-01-25,75.15,75.27,74.09,74.55,60.76,60.92,60.21,60.42,1.17999999999999,1.29285714285714,14.13,15.15,14.13,0,14.69,-0.560000000000004
2010-01-26,74.08,74.88,73.7,74.15,59.58,60.75,59.42,60.13,1.17999999999999,1.28479591836735,14.02,15.15,14.02,0,14.54,-0.519999999999996
2010-01-27,73.94,74.36,73.13,73.7,59.51,59.75,58.96,59.67,1.23,1.28088192419825,14.03,14.94,14.02,1,14.32,-0.289999999999999
2010-01-28,73.97,74.18,72.32,73.24,59.17,59.18,57.5,58.02,1.86000000000001,1.32224750104123,15.22,15.22,14.02,100,14.37,0.849999999999993
2010-01-29,73.53,74.07,71.75,72.12,58.83,59.14,57.38,57.59,2.31999999999999,1.39351553668115,14.53,15.22,14.02,43,14.39,0.140000000000001
2010-02-01,72.7,73.74,72.14,73.58,58.48,59,58.43,58.98,1.61999999999999,1.40969299834678,14.6,15.22,14.02,48,14.48,0.120000000000001
2010-02-02,73.74,74.58,73,74.45,58.51,59.6,58.29,59.47,1.58,1.42185778417915,14.98,15.22,14.03,80,14.67,0.310000000000004
2010-02-03,74.18,74.36,73.05,73.21,59.26,59.53,58.68,58.87,1.40000000000001,1.42029651388064,14.34,15.22,14.34,0,14.73,-0.390000000000004
2010-02-04,72.56,72.83,71.06,71.37,58.28,58.33,56.84,56.9,2.14999999999999,1.47241819146059,14.47,14.98,14.34,20,14.58,-0.109999999999994
2010-02-05,71,71.24,69.55,71.18,55.61,55.86,54.01,55.33,1.82000000000001,1.49724546349912,15.85,15.85,14.34,100,14.85,1.00000000000001
2010-02-08,71.24,71.45,70.13,70.13,55.46,56.23,55.08,55.17,1.32000000000001,1.48458507324919,14.96,15.85,14.34,41,14.92,0.0399999999999938
2010-02-09,70.89,72.03,70.82,71.31,55.66,56.73,55.2,56.03,1.90000000000001,1.5142575680171,15.28,15.85,14.34,62,14.98,0.300000000000001
2010-02-10,71.02,71.23,70,70.75,56.47,56.68,55.63,56.01,1.31,1.49966774173017,14.74,15.85,14.47,20,15.06,-0.319999999999999
2010-02-11,70.72,72.11,70.31,71.73,56.66,57.55,56.07,57.42,1.8,1.5211200458923,14.31,15.85,14.31,0,15.03,-0.719999999999997
2010-02-12,70.54,71.3,70.17,71.01,56.68,57.08,56.42,56.94,1.56,1.52389718547142,14.07,15.28,14.07,0,14.67,-0.599999999999993
2010-02-16,71.99,73.32,71.93,72.99,57.13,58.66,57.02,58.51,2.30999999999999,1.58004738650917,14.48,15.28,14.07,34,14.58,-0.100000000000003
2010-02-17,73.22,73.43,72.46,72.84,58.47,58.7,57.84,58.2,0.970000000000013,1.53647257318709,14.64,14.74,14.07,85,14.45,0.190000000000001
2010-02-18,72.69,73.72,72.34,73.62,58.05,58.81,57.99,58.75,1.38,1.52529596081658,14.87,14.87,14.07,100,14.47,0.400000000000004
2010-02-19,73.44,74.38,73.21,74.05,57.52,58.5,57.29,58.25,1.17,1.49991767790111,15.8,15.8,14.07,100,14.77,1.03
2010-02-22,74.17,74.22,72.79,72.96,58.43,58.5,57.81,58.06,1.42999999999999,1.49492355805103,14.9,15.8,14.48,32,14.94,-0.040000000000008
2010-02-23,72.6,72.93,71.77,72.04,57.44,57.58,56.5,56.63,1.19,1.47314330390453,15.41,15.8,14.64,66,15.12,0.290000000000004
2010-02-24,72.12,72.45,71.61,72.34,56.64,57.04,56.13,56.42,0.840000000000003,1.42791878219707,15.92,15.92,14.87,100,15.38,0.540000000000001
2010-02-25,71.19,72.19,70.78,72.11,54.79,55.42,54.45,55.38,1.56,1.43735315489728,16.73,16.73,14.9,100,15.75,0.979999999999997
2010-02-26,72.19,72.69,71.82,72.3,54.95,56.03,54.61,55.66,0.870000000000005,1.39682792954747,16.64,16.73,14.9,95,15.92,0.720000000000001
2010-03-01,72.63,73.18,72.39,72.81,55.81,56.13,55.44,55.96,0.88000000000001,1.35991164886551,16.85,16.85,15.41,100,16.31,0.540000000000003
2010-03-02,73.18,73.91,73.01,73.32,56.13,56.62,55.99,56.37,1.09999999999999,1.3413465310894,16.95,16.95,15.92,100,16.62,0.329999999999995
2010-03-03,73.63,73.85,73.06,73.13,57.01,57.47,56.76,56.87,0.789999999999992,1.30196463601159,16.26,16.95,16.26,0,16.69,-0.430000000000003
2010-03-04,73.07,73.5,72.71,73.08,56.92,57.02,56.09,56.41,0.790000000000006,1.26539573343933,16.67,16.95,16.26,59,16.67,0
2010-03-05,73.55,74.47,73.51,74.3,57.12,57.82,56.94,57.81,1.39,1.27429603819366,16.49,16.95,16.26,33,16.64,-0.150000000000006
2010-03-08,74.49,74.88,74.15,74.64,58.07,58.21,57.41,57.62,0.72999999999999,1.23541774975126,17.02,17.02,16.26,100,16.68,0.340000000000003
2010-03-09,74.3,74.91,74,74.3,57.46,57.94,57.43,57.79,0.909999999999997,1.21217362476903,16.51,17.02,16.26,33,16.59,-0.0800000000000018
2010-03-10,74.14,74.33,73.25,73.96,58.44,58.96,58.02,58.26,1.08,1.20273265157124,15.7,17.02,15.7,0,16.48,-0.780000000000005
2010-03-11,74.07,74.09,73.55,73.99,58.36,58.71,57.64,58.69,0.540000000000006,1.15539460503044,15.3,17.02,15.3,0,16.2,-0.900000000000002
2010-03-12,74.17,74.24,73.51,73.72,59.04,59.05,58.35,58.45,0.72999999999999,1.12500927609969,15.27,17.02,15.27,0,15.96,-0.690000000000005
2010-03-15,73.51,73.63,72.85,73.57,58.27,58.28,57.57,58.05,0.870000000000005,1.10679432780685,15.52,16.51,15.27,20,15.66,-0.140000000000004
2010-03-16,73.9,74.12,73.41,73.98,58.44,58.87,58.19,58.6,0.710000000000008,1.07845187582065,15.38,15.7,15.27,26,15.43,-0.0499999999999972
2010-03-17,74.18,75.06,74.16,74.67,58.82,59.11,58.67,58.87,1.08,1.07856245611918,15.8,15.8,15.27,100,15.45,0.350000000000005
2010-03-18,74.85,75.07,74.24,74.76,58.31,58.39,57.5,58.08,0.829999999999998,1.06080799496781,16.68,16.68,15.27,100,15.73,0.950000000000006
2010-03-19,74.98,75.16,73.89,74.98,57.32,58.03,56.75,57.32,1.27,1.07575028104153,17.66,17.66,15.38,100,16.21,1.45
2010-03-22,74.17,74.88,74,74.46,56.39,57.47,56.36,57.31,0.980000000000004,1.06891097525285,17.15,17.66,15.38,78,16.53,0.61999999999999
2010-03-23,74.43,74.79,74.03,74.77,57.39,57.76,57.13,57.52,0.760000000000005,1.04684590559194,17.25,17.66,15.8,78,16.91,0.339999999999993
