Date,Open,High,Low,Close
08/09/2014,98.92,98.92,97.45,97.77
05/09/2014,98.74,99.3,98.11,99.26
04/09/2014,99,99.45,97.97,98.36
03/09/2014,98.86,99.59,98.86,99.11
02/09/2014,99.43,99.59,97.81,98.49
29/08/2014,99.38,99.67,98.72,99.46
28/08/2014,99.04,99.74,99.01,99.57
27/08/2014,99.78,99.96,99.09,99.53
26/08/2014,99.12,100.31,99.02,99.64
25/08/2014,98.81,98.9,98.5,98.75
22/08/2014,98.89,98.98,98.08,98.5
21/08/2014,99.8,100.07,99.26,99.28
20/08/2014,99.55,99.9,99.04,99.7
19/08/2014,99.5,99.95,99.43,99.49
18/08/2014,99.28,99.53,99.1,99.52
15/08/2014,99.24,99.43,98.14,99.03
14/08/2014,99.1,99.28,98.6,99.09
13/08/2014,98.82,99.31,98.48,99.09
12/08/2014,98.21,98.69,97.82,98.49
11/08/2014,99.28,99.42,98.54,98.73
08/08/2014,98.81,99.79,98.32,99.74
07/08/2014,99.77,99.84,97.63,98.27
06/08/2014,98.2,99.65,98.2,98.98
05/08/2014,99.48,99.54,97.78,98.2
04/08/2014,98.74,100.43,98.31,100.13
01/08/2014,98.62,99.55,98.18,98.8
31/07/2014,101.98,101.98,98.93,98.94
30/07/2014,103.73,104.15,102.57,103.25
29/07/2014,104.21,104.76,103.52,103.55
28/07/2014,103.29,104.52,102.83,104.37
25/07/2014,103.93,103.99,102.96,103.18
24/07/2014,104.42,104.72,103.95,104.28
23/07/2014,103.64,104.45,103.53,104.25
22/07/2014,103.64,104.19,103.5,103.54
21/07/2014,102.36,103.19,102.06,103.08
18/07/2014,102.69,102.96,101.86,102.73
17/07/2014,103.38,103.89,102.29,102.31
16/07/2014,102.56,103.79,102.54,103.77
15/07/2014,102.53,102.6,101.74,102.39
14/07/2014,102.17,103.08,102.16,102.68
11/07/2014,102.4,102.5,101.32,101.74
10/07/2014,102.88,103.07,102.04,102.57
09/07/2014,102.96,103.69,102.81,103.55
08/07/2014,102.33,103.23,102.17,102.83
07/07/2014,102.33,102.65,102.02,102.65
03/07/2014,101.95,103.27,101.68,102.59
02/07/2014,101.15,101.64,101.04,101.57
01/07/2014,101.15,101.59,100.79,101.36
30/06/2014,101.21,101.27,100.52,100.68
27/06/2014,101.67,101.79,100.66,101.21
26/06/2014,101.94,102.38,100.85,102.03
25/06/2014,102.34,102.62,101.53,102.14
24/06/2014,104.18,104.47,102.47,102.73
23/06/2014,104.11,104.61,103.88,104.38
20/06/2014,103.28,104.06,102.94,103.83
19/06/2014,102.61,102.84,101.68,102.63
18/06/2014,102.57,102.95,102.06,102.73
17/06/2014,102.58,102.59,101.45,102.42
16/06/2014,102.57,103.25,102.17,102.92
13/06/2014,101.93,102.66,101.63,102.65
12/06/2014,102.46,102.95,101.57,101.66
11/06/2014,101.19,102.33,101,101.95
10/06/2014,101.48,101.73,101,101.46
09/06/2014,101.45,101.96,101.19,101.52
06/06/2014,100.61,101.63,100.6,101.6
05/06/2014,100.1,100.83,99.96,100.55
04/06/2014,100.21,100.46,99.96,100.04
03/06/2014,99.59,100.69,99.59,100.39
02/06/2014,100.53,100.88,99.67,99.94
30/05/2014,100.8,101.15,100.37,100.53
29/05/2014,101.54,101.65,101.02,101.27
28/05/2014,101.23,102.07,101.05,101.06
27/05/2014,101.61,101.9,100.93,101.36
23/05/2014,101.55,101.93,101.27,101.32
22/05/2014,101.81,101.97,101.47,101.5
21/05/2014,100.85,102.22,100.72,102.03
20/05/2014,100.69,101.08,100.45,100.67
19/05/2014,100.42,101.11,100.42,100.87
16/05/2014,100.59,101,100.32,100.74
15/05/2014,102,102.42,100.33,100.78
14/05/2014,102.36,102.68,102.11,102.29
13/05/2014,102.18,102.71,101.94,102.36
12/05/2014,102.33,102.35,101.53,102.23
09/05/2014,101.71,102.18,101.26,101.95
08/05/2014,103.09,103.29,102.17,102.32
07/05/2014,103.12,103.45,102.79,103.11
06/05/2014,102.6,103.3,102.41,102.67
05/05/2014,101.69,103.13,101.58,102.91
02/05/2014,101.28,102.91,100.98,102.01
01/05/2014,101.96,102.39,101.2,101.41
30/04/2014,101.13,102.41,100.71,102.41
29/04/2014,101.57,102.57,101.23,101.45
28/04/2014,100.72,101.46,100.31,101.17
25/04/2014,99.99,100.57,99.93,100.41
24/04/2014,100.48,100.6,99.86,100.01
23/04/2014,100.59,100.95,100.33,100.5
22/04/2014,100.53,100.86,100.22,100.37
21/04/2014,100.03,100.93,99.89,100.93
17/04/2014,99.69,100.97,99.69,100.42
16/04/2014,99.05,100.1,98.97,99.94
15/04/2014,97.58,98.7,97.07,98.68
14/04/2014,97.49,98.06,96.74,97.86
11/04/2014,96.51,97.44,96.28,96.72
10/04/2014,96.98,97.78,96.24,96.78
09/04/2014,97.75,97.79,96.63,97.33
08/04/2014,97.01,97.88,96.75,97.45
07/04/2014,97.25,97.53,96.75,96.78
04/04/2014,98.3,98.71,97.28,97.36
03/04/2014,97.83,98.54,97.56,97.93
02/04/2014,97.53,98.06,97.18,97.95
01/04/2014,97.65,97.93,97.28,97.73
31/03/2014,98.49,98.85,97.32,97.68
28/03/2014,96.47,97.97,96.47,97.7
