Date,Open,High,Low,Close
08/09/2014,65.98,66.06,65.24,65.4
05/09/2014,66.66,66.91,66.28,66.91
04/09/2014,66.97,67.7,66.48,66.79
03/09/2014,66.22,66.41,66.01,66.4
02/09/2014,65.98,66.05,65.2,65.57
29/08/2014,66.06,66.18,65.45,65.96
28/08/2014,65.43,65.62,65.24,65.26
27/08/2014,65.54,65.76,65.18,65.73
26/08/2014,65.52,66.06,65.49,65.89
25/08/2014,64.22,65.04,64.08,65.04
22/08/2014,63.92,63.94,62.82,63.58
21/08/2014,64.49,65.02,64.4,64.89
20/08/2014,63.55,64.34,63.48,64.11
19/08/2014,64.05,64.48,63.98,64.43
18/08/2014,63.78,64.09,63.5,63.99
15/08/2014,64.5,64.66,63.13,63.83
14/08/2014,64.3,64.38,64,64.08
13/08/2014,64.28,64.42,63.93,64.42
12/08/2014,64,64.24,63.6,64.09
11/08/2014,65.07,65.62,65.01,65.14
08/08/2014,64.96,65.41,64.47,65.07
07/08/2014,65.43,65.58,64.19,64.52
06/08/2014,64.28,65.36,64.25,64.88
05/08/2014,65.07,65.3,64.26,64.43
04/08/2014,65.09,65.53,64.66,65.48
01/08/2014,64.85,65.09,64.04,64.7
31/07/2014,65.32,65.32,64.28,64.5
30/07/2014,67.96,68.21,66.1,66.63
29/07/2014,69.88,70.19,69.32,69.41
28/07/2014,69.37,69.64,68.91,69.34
25/07/2014,69.15,69.27,68.31,68.79
24/07/2014,69.74,69.97,69.39,69.75
23/07/2014,69.56,69.59,69,69.2
22/07/2014,68.88,69.32,68.76,69.14
21/07/2014,67.7,67.82,67.28,67.56
18/07/2014,67.72,68.13,67.47,68.12
17/07/2014,67.81,68.42,66.64,66.77
16/07/2014,69,69.01,68.62,68.62
15/07/2014,69.01,69.1,67.79,67.88
14/07/2014,69.62,69.86,69.33,69.45
11/07/2014,69.1,69.23,68.8,68.99
10/07/2014,68.83,69.28,68.48,69.05
09/07/2014,69.98,70.61,69.86,70.16
08/07/2014,70.93,71.02,70.02,70.37
07/07/2014,71.17,71.28,70.7,71.06
03/07/2014,71.97,72.22,71.88,72.1
02/07/2014,72.38,72.53,72.09,72.32
01/07/2014,72.85,73.09,72.54,72.77
30/06/2014,71.64,72.46,71.58,72.2
27/06/2014,72.15,72.26,71.77,72.2
26/06/2014,72.46,72.48,71,72.19
25/06/2014,73.21,73.35,72.69,73.12
24/06/2014,74.2,74.22,73.2,73.24
23/06/2014,73.87,74.12,73.62,73.88
20/06/2014,73.42,73.56,73.2,73.2
19/06/2014,72.98,73.35,72.69,72.74
18/06/2014,71.74,72.1,71.53,71.98
17/06/2014,70.55,71.29,70.45,70.98
16/06/2014,71.49,71.69,71.16,71.42
13/06/2014,71.63,71.79,71.44,71.6
12/06/2014,70.61,71.26,70.58,70.92
11/06/2014,70.21,70.27,69.93,70.13
10/06/2014,70.15,70.52,70.03,70.52
09/06/2014,70.48,70.88,70.27,70.66
06/06/2014,70.76,71.15,70.52,70.98
05/06/2014,69.69,70.46,69.35,70.3
04/06/2014,69.14,69.23,68.55,68.55
03/06/2014,69.73,69.95,69.61,69.85
02/06/2014,70.18,70.2,69.82,70.06
30/05/2014,69.63,69.93,69.45,69.45
29/05/2014,69.65,69.8,69.49,69.78
28/05/2014,69.49,69.83,69.27,69.65
27/05/2014,70.91,71.23,70.77,71.01
23/05/2014,71.17,71.4,70.98,71.31
22/05/2014,70.95,71.21,70.84,71.05
21/05/2014,71.3,71.35,70.99,71.09
20/05/2014,70.68,70.82,70.22,70.35
19/05/2014,71.64,71.67,71.09,71.15
16/05/2014,71.06,71.35,70.77,71
15/05/2014,70.78,70.8,69.91,70.29
14/05/2014,71.01,71.34,70.85,70.95
13/05/2014,71.39,71.46,70.9,71.28
12/05/2014,71.92,72.02,71.59,71.78
09/05/2014,72.2,72.24,71.5,71.62
08/05/2014,72.63,73.52,72.37,72.73
07/05/2014,71.59,72.03,71.32,71.75
06/05/2014,71.08,71.11,70.43,70.62
05/05/2014,70.17,71.05,70.05,70.97
02/05/2014,70.44,70.82,70.25,70.47
01/05/2014,70.9,71,70.5,70.86
30/04/2014,71.12,71.4,70.24,71.24
29/04/2014,70.46,71.38,70.27,70.34
28/04/2014,69.22,69.79,68.94,69.68
25/04/2014,68.65,68.8,68.36,68.5
24/04/2014,68.72,69.06,68.21,68.51
23/04/2014,68.58,68.65,67.72,67.99
22/04/2014,68.47,68.65,68.35,68.65
21/04/2014,68.27,68.37,68.11,68.23
17/04/2014,67.85,68.37,67.8,68.08
16/04/2014,67.95,68,67.42,67.77
15/04/2014,68.31,68.31,67.11,67.74
14/04/2014,67.16,68.03,67.13,67.73
11/04/2014,66.02,66.64,65.76,66.21
10/04/2014,66.87,67,65.8,65.98
09/04/2014,67.38,67.56,67.05,67.25
08/04/2014,66.08,66.64,65.88,66.53
07/04/2014,66.22,66.34,65.46,65.59
04/04/2014,66.52,66.75,66.17,66.26
03/04/2014,66.01,66.14,65.72,65.81
02/04/2014,66.03,66.14,65.67,65.8
01/04/2014,65.98,66.17,65.85,66
31/03/2014,66.05,66.3,65.42,65.6
28/03/2014,65.92,66.11,65.71,65.98
27/03/2014,65.42,65.96,65.34,65.49
26/03/2014,65.31,65.54,65.08,65.13
25/03/2014,64.39,64.91,64.03,64.78
24/03/2014,64.73,64.74,63.67,64.12
21/03/2014,63.87,64.76,63.79,63.84
20/03/2014,63.36,64.33,63.35,63.77
19/03/2014,65.48,65.62,63.87,64.28
18/03/2014,65.51,66.23,65.21,65.73
17/03/2014,64.6,64.97,64.47,64.7
14/03/2014,63.43,64.25,63.33,63.74
13/03/2014,64.85,64.85,63,63
12/03/2014,63.66,64.51,63.53,64.18
11/03/2014,64.61,64.91,63.96,63.96
