Date,Open,High,Low,Close
05/09/2014,125.43,125.55,124.1,124.69
04/09/2014,126.38,126.75,125.26,125.46
03/09/2014,125.46,126.24,125.2,125.94
02/09/2014,125.62,126.26,124.57,125.48
29/08/2014,127.35,127.35,126.05,126.8
28/08/2014,127.34,127.75,126.72,127.11
27/08/2014,128.77,128.99,127.95,128.2
26/08/2014,128.69,129.13,128.31,128.6
25/08/2014,128.08,128.49,127.78,128.33
22/08/2014,127.33,127.8,126.96,127.46
21/08/2014,127.54,127.78,126.74,127.5
20/08/2014,125.89,127.71,125.58,127.35
19/08/2014,125.22,125.79,125.11,125.58
18/08/2014,123.58,125.24,123.57,124.98
15/08/2014,124.5,124.5,122.15,123.16
14/08/2014,122.2,124.69,122.16,124.11
13/08/2014,120.67,122.23,120.63,121.98
12/08/2014,120.51,120.94,120.01,120.47
11/08/2014,121.15,121.76,120.75,120.8
08/08/2014,119.8,120.65,119.28,120.63
07/08/2014,119,120.22,118.87,119.84
06/08/2014,119.32,119.36,117.87,118.34
05/08/2014,119.67,121.98,119.66,121.27
04/08/2014,120.8,121.19,119.77,119.93
01/08/2014,120.45,121.71,119.64,120.38
31/07/2014,121.47,122.05,120.41,120.48
30/07/2014,123.2,123.8,121.76,122.29
29/07/2014,123.31,123.63,122.2,122.32
28/07/2014,123.44,124.56,122.16,123.06
25/07/2014,124.48,124.53,122.41,123.2
24/07/2014,125.92,126.05,124,124.4
23/07/2014,127.79,128.4,126.02,126.71
22/07/2014,128.99,130.01,128.58,129.74
21/07/2014,127.3,128.42,126.77,128.3
18/07/2014,126.38,127.82,126.25,127.64
17/07/2014,127.21,128.18,125.79,125.88
16/07/2014,129.56,129.56,127.14,127.42
15/07/2014,130.31,130.31,128.34,129.1
14/07/2014,128.91,130.58,128.76,129.52
11/07/2014,127.18,128.24,126.36,128.09
10/07/2014,125.54,127.63,125.12,126.79
09/07/2014,128.31,128.32,125.91,126.79
08/07/2014,128.89,128.97,125.92,126.79
07/07/2014,128.1,129.5,127.77,129.09
03/07/2014,127.99,128.62,127.7,128.51
02/07/2014,128.15,128.5,127.34,127.62
01/07/2014,127.66,128.33,127.36,128.15
30/06/2014,127.91,127.91,126.2,127.23
27/06/2014,128.07,128.78,127.56,128.54
26/06/2014,127.41,128.44,126.36,128.02
25/06/2014,129.04,129.14,126.28,127.06
24/06/2014,130.5,131.24,129,129.15
23/06/2014,132.32,132.53,130.65,130.85
20/06/2014,133.48,134.08,132.09,132.1
19/06/2014,132.48,132.93,131.8,132.82
18/06/2014,132.61,132.67,131.03,132.48
17/06/2014,132.1,133.05,131.72,132.45
16/06/2014,132.2,133.13,131.65,132.54
13/06/2014,132.53,132.95,131.55,132.29
12/06/2014,133.86,134.17,131.64,132.19
11/06/2014,135.25,135.53,133.82,134.1
10/06/2014,137.59,137.75,136.29,137.25
09/06/2014,138.25,138.39,137.5,137.96
06/06/2014,137.39,138.25,137.12,138.25
05/06/2014,135.65,137.38,135.65,136.82
04/06/2014,135.54,135.55,134.59,135.33
03/06/2014,135.8,136.53,135.62,135.88
02/06/2014,135.5,136.03,134.77,135.9
30/05/2014,134.67,135.44,134.04,135.25
29/05/2014,134.71,135.2,134.43,135.14
28/05/2014,134.17,135.15,134.17,134.33
27/05/2014,133.09,134.21,132.87,134.17
23/05/2014,132,132.58,131.93,132.41
22/05/2014,131.66,132.48,131.27,131.84
21/05/2014,130.43,131.43,130.04,130.96
20/05/2014,130.94,131.6,129.07,129.58
19/05/2014,130.42,132.07,130.35,131.35
16/05/2014,131.31,131.71,130.03,130.81
15/05/2014,132.7,132.86,130.56,131.21
14/05/2014,133.8,133.97,132.69,132.99
13/05/2014,133.01,133.83,132.86,133.45
12/05/2014,131.82,132.99,131.64,132.6
09/05/2014,130.26,131.33,129.88,131.1
08/05/2014,130.17,131.27,130.17,130.57
07/05/2014,130.77,131.1,129.2,130.35
06/05/2014,131.75,131.92,130.7,130.83
05/05/2014,129,132.38,128.95,131.96
02/05/2014,128.7,130.4,128.61,129.94
01/05/2014,128.74,129.6,128.27,128.46
30/04/2014,128.05,129.5,127.8,129.02
29/04/2014,127.2,128.57,126.53,128.37
28/04/2014,128.2,128.87,125.8,127.04
25/04/2014,129.84,130,128.37,128.66
24/04/2014,130.41,130.62,128.43,129.86
23/04/2014,130.67,131.5,129.33,130.63
22/04/2014,128.25,129.13,127.48,127.55
21/04/2014,128.05,128.44,127.37,127.82
17/04/2014,126.44,128.37,125.83,127.92
16/04/2014,125,126.04,124.73,126.04
15/04/2014,123.35,124.55,122.13,124.27
14/04/2014,123.08,123.77,122.18,123.25
11/04/2014,123.05,123.45,121.92,122.07
10/04/2014,126.82,126.86,123.64,123.64
09/04/2014,124.99,127.02,124.05,126.88
08/04/2014,125.28,125.73,124.06,124.15
07/04/2014,127.19,128.18,124.95,125.59
04/04/2014,129.33,129.92,127.23,127.38
03/04/2014,129.17,129.17,128.28,128.78
02/04/2014,128.63,128.77,127.4,128.31
01/04/2014,126.24,128.4,126.17,128.21
31/03/2014,125.36,126.04,124.8,125.49
28/03/2014,123.78,125.19,123.52,124.46
27/03/2014,123.01,124.3,121.8,123.21
26/03/2014,124.61,125.32,123.32,123.53
25/03/2014,124.46,125,123.56,124.02
24/03/2014,123.53,123.95,122.08,123.42
21/03/2014,124.06,124.45,122.5,122.58
20/03/2014,122.59,123.9,121.38,123.73
19/03/2014,124.32,125.2,121.37,122.24
18/03/2014,125.59,125.82,123.66,124.04
17/03/2014,123.97,125.82,123.92,125.42
14/03/2014,122.12,124.28,121.95,123.11
13/03/2014,124.65,125.61,121.63,121.89
12/03/2014,125,125.2,123.81,124.43
11/03/2014,127.03,127.27,125.62,125.67
10/03/2014,126.51,127.28,124.76,126.89
07/03/2014,129.75,130.16,128.07,128.54
06/03/2014,129.01,129.37,128.03,128.86
05/03/2014,130.4,130.8,128.69,128.79
04/03/2014,129.38,131,129.33,130.23
03/03/2014,127.18,128.44,126.52,128.22
28/02/2014,128.75,129.95,128.06,128.92
27/02/2014,126.47,128.56,126.26,128.56
26/02/2014,127.24,127.94,126.36,126.61
25/02/2014,129.3,129.75,126.21,126.78
24/02/2014,128.38,130.8,128.36,129.59
21/02/2014,129.8,129.8,128.11,128.28
20/02/2014,128.48,129.99,127.51,129.56
19/02/2014,130.11,130.5,128.37,128.39
18/02/2014,130.13,130.94,129.6,130.63
14/02/2014,129.09,130.41,128.02,130.16
13/02/2014,127.06,129.94,127.06,129.5
12/02/2014,130.29,130.55,128,128.13
11/02/2014,127.65,130.69,127.46,130.16
10/02/2014,128.96,128.97,126.35,127.16
07/02/2014,123.75,127.21,123.65,127.02
06/02/2014,121.79,122.72,121.51,122.67
05/02/2014,121,121.94,118.77,121.4
04/02/2014,123.07,123.8,120.53,122.04
03/02/2014,124.24,126.52,122.75,123.08
31/01/2014,124.46,126.87,123.08,125.26
30/01/2014,131.7,131.7,125.2,126.53
29/01/2014,131.7,131.76,128.07,129.78
28/01/2014,137.61,138.09,136.44,137.09
27/01/2014,136.7,138.46,135.65,137.36
24/01/2014,140.4,140.47,136.32,136.65
23/01/2014,143.1,143.89,141.1,141.31
22/01/2014,142.31,144.57,141.87,144.37
21/01/2014,141.46,142.46,140.81,141.67
17/01/2014,140.08,141,139.75,140.46
16/01/2014,140.33,141.45,140.07,140.21
15/01/2014,140.3,141.08,140.14,140.62
