Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y,tr,atr,diff,diff_mx,diff_mn,st5,diff_MA,diff_MAD
04/01/2010,55.72,56.39,54.8,56.18,68.51,69.19,68.17,69.19,NA,NA,-13.01,NA,NA,NA,NA,NA
05/01/2010,56.25,58.28,56,58.02,69.29,69.78,68.81,69.3,2.28,NA,-11.28,NA,NA,NA,NA,NA
06/01/2010,58.23,59.99,57.88,59.78,69.03,69.36,68.75,69.24,2.11,NA,-9.46,NA,NA,NA,NA,NA
07/01/2010,59.51,62.31,59.02,62.2,69.09,69.5,68.73,69.44,3.29,NA,-7.24,NA,NA,NA,NA,NA
08/01/2010,61.54,61.78,60.86,61.6,69.43,69.7,68.91,69.44,1.34,NA,-7.84,-7.24,-13.01,90,-9.77,1.93
11/01/2010,61.95,62.09,60.51,60.87,69.83,70.75,69.66,70.73,1.58,NA,-9.86,-7.24,-11.28,35,-9.14,-0.72
12/01/2010,60.07,61.2,59.91,60.43,70.27,70.65,69.85,70.3,1.29,NA,-9.87,-7.24,-9.87,0,-8.85,-1.02
13/01/2010,60.61,61.7,60.35,61.16,70.17,71.49,69.96,71.07,1.35,NA,-9.91,-7.24,-9.91,0,-8.94,-0.97
14/01/2010,61.03,61.62,60.78,61.56,70.87,71.24,70.31,71.1,0.84,NA,-9.54,-7.84,-9.91,18,-9.4,-0.14
15/01/2010,61.53,61.56,60.21,60.82,71.08,71.08,69.85,70.61,1.35,NA,-9.79,-9.54,-9.91,32,-9.79,0
19/01/2010,60.6,61.01,59.96,60.65,70.49,70.83,70.02,70.69,1.05,NA,-10.04,-9.54,-10.04,0,-9.83,-0.21
20/01/2010,60.33,60.57,58.53,60.2,70.12,70.29,68.35,69.36,2.12,NA,-9.16,-9.16,-10.04,100,-9.69,0.53
21/01/2010,60.3,61.26,58.9,59.2,69.27,69.72,67.73,68.14,2.36,NA,-8.94,-8.94,-10.04,100,-9.49,0.55
22/01/2010,58.62,59.17,57.7,57.77,68.1,68.77,66.94,67.02,1.5,NA,-9.25,-8.94,-10.04,72,-9.44,0.19
25/01/2010,58.35,58.75,57.5,57.78,68.68,69.04,67.85,67.86,1.25,1.693571429,-10.08,-8.94,-10.08,0,-9.49,-0.59
26/01/2010,57.54,58.5,57.23,57.71,67.57,69.4,67.43,68.72,1.27,1.663316327,-11.01,-8.94,-11.01,0,-9.69,-1.32
27/01/2010,58.84,62.08,58.83,61.93,68.75,68.75,65.92,67.23,4.37,1.856650875,-5.3,-5.3,-11.01,100,-8.92,3.62
28/01/2010,62.15,62.95,61.31,62.56,67.61,68.25,67.04,67.6,1.64,1.841175812,-5.04,-5.04,-11.01,100,-8.14,3.1
29/01/2010,62.8,63.4,60.32,60.6,67.41,67.73,66.72,66.85,3.08,1.929663254,-6.25,-5.04,-11.01,80,-7.54,1.29
01/02/2010,60.74,61.86,60.72,61.7,67.22,69.58,66.79,69.43,1.26,1.881830165,-7.73,-5.04,-11.01,55,-7.07,-0.66
02/02/2010,61.29,62,61,61.94,69.43,70.21,68.66,70.03,1,1.818842296,-8.09,-5.04,-8.09,0,-6.48,-1.61
03/02/2010,61.52,61.8,60.85,61.46,69.82,70.39,69.51,70.12,1.09,1.766782132,-8.66,-5.04,-8.66,0,-7.15,-1.51
04/02/2010,60.95,61.17,59.25,59.32,69.64,69.98,68.06,68.16,2.21,1.798440551,-8.84,-6.25,-8.84,0,-7.91,-0.93
05/02/2010,59.21,59.74,57.14,58.4,68.07,68.38,65.3,66.66,2.6,1.855694797,-8.26,-7.73,-8.84,52,-8.32,0.06
08/02/2010,58.33,58.97,57.78,57.89,66.72,67.53,65.91,66.35,1.19,1.808145169,-8.46,-8.09,-8.84,51,-8.46,7.10543E-15
09/02/2010,58.62,60.43,58.39,59.74,66.95,68.56,66.55,68.04,2.54,1.860420514,-8.3,-8.26,-8.84,93,-8.5,0.2
10/02/2010,59.71,60.05,58.94,59.54,68.05,68.34,67.42,67.64,1.11,1.806819049,-8.1,-8.1,-8.84,100,-8.39,0.29
11/02/2010,59.75,60.75,58.94,60.59,67.46,67.85,66.55,67.8,1.81,1.807046259,-7.21,-7.21,-8.46,100,-8.07,0.86
12/02/2010,59.87,59.92,58.93,59.65,67.33,68.28,66.38,67.95,1.66,1.796542955,-8.3,-7.21,-8.46,13,-8.07,-0.23
16/02/2010,60.42,61.29,59.9,61.26,68.37,69.85,68.13,69.85,1.64,1.785361316,-8.59,-7.21,-8.59,0,-8.1,-0.49
17/02/2010,61.39,62,61,61.82,69.76,70.1,69.1,70.1,1,1.729264079,-8.28,-7.21,-8.59,22,-8.1,-0.18
18/02/2010,61.78,63.01,61.72,62.89,69.86,71.99,69.59,71.78,1.29,1.697888073,-8.89,-7.21,-8.89,0,-8.25,-0.64
19/02/2010,62.65,64.34,62.65,63.59,71.64,73.1,71.43,72.61,1.69,1.697324639,-9.02,-8.28,-9.02,0,-8.62,-0.4
22/02/2010,63.58,64.47,63.19,63.97,72.62,72.97,71.74,72.57,1.28,1.667515737,-8.6,-8.28,-9.02,57,-8.68,0.08
23/02/2010,63.81,64.17,62.25,62.77,72.28,72.88,71.53,71.81,1.92,1.685550327,-9.04,-8.28,-9.04,0,-8.77,-0.27
24/02/2010,63,63.7,62.64,63.48,71.83,72.74,71.71,72.6,1.06,1.640868161,-9.12,-8.6,-9.12,0,-8.93,-0.19
25/02/2010,62.72,62.97,62,62.87,72.1,72.24,70.81,72.2,1.48,1.629377578,-9.33,-8.6,-9.33,0,-9.02,-0.31
26/02/2010,63.09,63.88,63.03,63.16,72.39,72.74,71.59,72.55,1.01,1.585136322,-9.39,-8.6,-9.39,0,-9.1,-0.29
