Date,Open.x,High.x,Low.x,Close.x,Open.y,High.y,Low.y,Close.y,tr,atr,diff,diff_mx,diff_mn,st5,diff_MA,diff_MAD
31/12/2010,64.9,65.29,64.62,65.26,64.42,64.89,64.18,64.78,NA,NA,0.48,NA,NA,NA,NA,NA
03/01/2011,66.15,66.68,66,66.4,65.15,65.44,64.92,65.15,1.42,NA,1.25,NA,NA,NA,NA,NA
04/01/2011,66.79,67.61,66.51,66.94,65.14,65.38,64.7,65.36,1.21,NA,1.58,NA,NA,NA,NA,NA
05/01/2011,66.55,67.55,66.49,67.48,65.15,65.75,64.79,65.7,1.06,NA,1.78,NA,NA,NA,NA,NA
06/01/2011,67.46,69.35,67.46,68.8,65.82,67.66,65.77,67.2,1.89,NA,1.6,1.78,0.48,86,1.34,0.26
07/01/2011,69.16,70.1,68.8,69.38,67.81,68.75,67.42,68.06,1.3,NA,1.32,1.78,1.25,13,1.51,-0.19
10/01/2011,69.42,69.66,68.35,69.09,67.61,67.69,66.76,66.93,1.31,NA,2.16,2.16,1.32,100,1.69,0.47
11/01/2011,69.47,69.88,68.67,68.96,67.18,67.43,66.4,66.42,1.21,NA,2.54,2.54,1.32,100,1.88,0.66
12/01/2011,69.6,70.49,69.51,70.15,66.59,67.43,66.59,66.92,1.53,NA,3.23,3.23,1.32,100,2.17,1.06
13/01/2011,70.29,70.5,69.62,69.83,67.4,67.47,66.23,66.52,0.88,NA,3.31,3.31,1.32,100,2.51,0.8
14/01/2011,69.55,70.2,69.39,70.07,66.47,67.27,66.29,67.23,0.81,NA,2.84,3.31,2.16,59,2.82,0.02
18/01/2011,70.86,72.57,70.23,72.47,66.94,69.84,66.87,69.32,2.5,NA,3.15,3.31,2.54,79,3.01,0.14
19/01/2011,72.68,72.99,71.18,71.73,69.32,69.55,68.58,68.93,1.81,NA,2.8,3.31,2.8,0,3.07,-0.27
20/01/2011,71.35,71.96,70.36,71.12,68.98,70,68.61,69.98,1.6,NA,1.14,3.31,1.14,0,2.65,-1.51
21/01/2011,71.91,72.22,71.34,71.68,70.35,70.35,69.28,69.53,1.1,1.402142857,2.15,3.15,1.14,50,2.42,-0.27
24/01/2011,71.52,72.82,71.51,72.73,69.49,69.72,68.47,68.91,1.31,1.395561224,3.82,3.82,1.14,100,2.61,1.21
25/01/2011,72.49,72.73,71.31,72.24,68.84,69.54,68.55,69.51,1.42,1.397306851,2.73,3.82,1.14,59,2.53,0.2
26/01/2011,69.99,70.48,69.11,70.02,69.63,69.64,68.32,68.81,3.13,1.521070648,1.21,3.82,1.14,3,2.21,-1
27/01/2011,70.01,71,70,70.56,69.04,69.88,68.66,69.22,1,1.483851316,1.34,3.82,1.21,5,2.25,-0.91
28/01/2011,70.8,70.95,69,69.23,69.31,69.77,67.33,67.58,1.95,1.51714765,1.65,3.82,1.21,17,2.15,-0.5
31/01/2011,69.26,69.96,69.12,69.48,68.01,69.36,67.86,69.3,0.84,1.468779961,0.18,2.73,0.18,0,1.42,-1.24
01/02/2011,70,70.5,69.6,70.29,69.77,70.32,69.56,70.27,1.02,1.436724249,0.02,1.65,0.02,0,0.88,-0.86
02/02/2011,69.83,71.19,69.8,71,70.1,70.35,69.67,69.88,1.39,1.433386803,1.12,1.65,0.02,67,0.86,0.26
03/02/2011,71,71.38,70.62,70.98,69.78,70,69.15,69.79,0.76,1.385287746,1.19,1.65,0.02,72,0.83,0.36
04/02/2011,70.9,71.64,70.68,71.38,69.7,69.75,69.18,69.57,0.96,1.35491005,1.81,1.81,0.02,100,0.86,0.95
07/02/2011,71.43,72.11,71.15,71.93,69.78,70.65,69.67,70.35,0.96,1.326702189,1.58,1.81,0.02,87,1.14,0.44
08/02/2011,72.17,72.82,72.02,72.71,70.34,71.14,69.94,71.09,0.89,1.295509175,1.62,1.81,1.12,72,1.46,0.16
09/02/2011,72.39,72.71,72,72.63,71.91,72.5,70.59,71.87,0.71,1.253687091,0.76,1.81,0.76,0,1.39,-0.63
10/02/2011,72.43,72.99,71.85,72.66,71.33,71.68,70.44,71.16,1.14,1.245566585,1.5,1.81,0.76,70,1.45,0.05
11/02/2011,72.24,72.69,71.93,72.14,70.95,71.16,70.4,70.51,0.76,1.210883257,1.63,1.63,0.76,100,1.42,0.21
14/02/2011,72.7,72.7,71.6,72.26,70.41,70.68,68.56,68.7,1.1,1.202963025,3.56,3.56,0.76,100,1.81,1.75
15/02/2011,71.92,72.02,71.09,71.4,68.23,69.32,68.14,69.14,1.17,1.200608523,2.26,3.56,0.76,54,1.94,0.32
16/02/2011,71.71,72.62,71.46,72.48,69.31,69.54,67.3,68.54,1.22,1.201993628,3.94,3.94,1.5,100,2.58,1.36
17/02/2011,72.42,72.51,71.94,72.24,68.28,69.58,68.08,68.9,0.57,1.156851226,3.34,3.94,1.63,74,2.95,0.39
18/02/2011,72.13,73.52,72.13,73.04,68.9,69.44,68.77,69.11,1.39,1.17350471,3.93,3.94,2.26,99,3.41,0.52
22/02/2011,72.35,72.49,70.38,70.93,68.53,68.65,67.14,67.56,2.66,1.279682945,3.37,3.94,2.26,66,3.37,4.44089E-15
23/02/2011,70.94,71.49,70,70.23,67.52,68.08,66.33,66.92,1.49,1.294705592,3.31,3.94,3.31,0,3.58,-0.27
24/02/2011,70.35,72.5,70.09,70.76,66.42,67.65,65.65,67,2.41,1.374369478,3.76,3.93,3.31,73,3.54,0.22
25/02/2011,73.94,74.29,72.06,72.3,67.21,67.59,66.32,66.49,3.53,1.528343087,5.81,5.81,3.31,100,4.04,1.77
28/02/2011,72.47,72.9,71.7,72.01,66.52,67.58,66.08,66.68,1.2,1.504890009,5.33,5.81,3.31,81,4.32,1.01
