Date,Open,High,Low,Close
05/09/2014,124.73,125.5,123.56,125.45
04/09/2014,124.95,126.22,124.51,124.7
03/09/2014,123.55,124.98,123.47,124.93
02/09/2014,123.35,123.84,122.54,122.66
29/08/2014,123.05,123.6,122.64,123.25
28/08/2014,123.7,123.79,122.94,123.39
27/08/2014,124.6,124.76,123.68,123.99
26/08/2014,124.66,124.89,124.26,124.4
25/08/2014,124.19,124.85,123.63,124.42
22/08/2014,123.67,124.38,123.12,123.85
21/08/2014,123.47,124.25,123.13,123.68
20/08/2014,121.65,123.75,121.49,123.48
19/08/2014,121.4,121.98,121.3,121.81
18/08/2014,120.2,121.49,120.17,121.18
15/08/2014,119.55,120,118.55,119.34
14/08/2014,119.35,119.93,119.05,119.12
13/08/2014,117.85,119.3,117.64,119.12
12/08/2014,117.72,118.6,116.86,117.22
11/08/2014,117.86,118.51,117.42,117.82
08/08/2014,114.6,117.29,114.6,117.16
07/08/2014,114.74,116.1,114.1,114.39
06/08/2014,115.56,115.99,114.6,114.75
05/08/2014,117,118.5,116.16,116.35
04/08/2014,117.38,117.6,115.91,117.23
01/08/2014,116.42,118.08,116.42,117.38
31/07/2014,118.33,118.87,116.45,116.77
30/07/2014,119.23,119.98,118.55,119.21
29/07/2014,120.48,120.71,119.18,119.18
28/07/2014,120.71,121.11,119.71,120.48
25/07/2014,120.96,122.17,120.86,121.14
24/07/2014,120.72,121.93,120.65,121.48
23/07/2014,120.35,121.11,119.11,120.73
22/07/2014,118.71,119.14,118.35,118.55
21/07/2014,117.48,118.47,117.1,118.35
18/07/2014,116.65,117.88,116.51,117.64
17/07/2014,117.06,117.55,116.05,116.1
16/07/2014,117.96,118.15,117.15,117.51
15/07/2014,116.89,118.1,116.87,117.51
14/07/2014,117.09,117.45,116.41,116.68
11/07/2014,115.67,117.02,115.31,116.85
10/07/2014,114.07,116.12,114.04,115.53
09/07/2014,115,115.68,114.53,115.62
08/07/2014,115.67,115.75,114.32,114.8
07/07/2014,116.17,116.23,115.34,115.75
