Date,Open,High,Low,Close
05/09/2014,127.3,127.61,126.74,127.53
04/09/2014,128.41,128.63,127.03,127.22
03/09/2014,129.1,129.1,127.61,127.93
02/09/2014,128.41,128.72,127.81,128.57
29/08/2014,126.9,127.68,126.77,127.22
28/08/2014,126.31,127.19,126.31,126.88
27/08/2014,127.57,127.86,126.94,127.62
26/08/2014,128.04,128.06,127.02,127.27
25/08/2014,128.31,128.44,127.49,128.02
22/08/2014,128.3,128.66,127.45,127.6
21/08/2014,128.56,128.56,127.66,128.03
20/08/2014,127.02,128.39,126.76,128.17
19/08/2014,127.07,127.42,126.45,127.01
18/08/2014,125.62,126.94,125.62,126.73
15/08/2014,125.51,125.98,123.68,124.87
14/08/2014,125.38,125.93,124.94,125.01
13/08/2014,123.5,125.68,123.16,125.16
12/08/2014,123.58,124.39,122.8,123.03
11/08/2014,123.26,124.02,123.18,123.49
08/08/2014,120.75,122.96,120.54,122.86
07/08/2014,121.8,122.36,119.97,120.3
06/08/2014,122,122.2,120.58,120.98
05/08/2014,123.12,125.23,122.88,123.07
04/08/2014,123.53,123.97,122.22,123.36
01/08/2014,122.91,124.85,122.85,123.92
31/07/2014,124.91,125,123.03,123.27
30/07/2014,127.08,127.23,125.31,125.85
29/07/2014,127.56,127.97,126.21,126.37
28/07/2014,127.97,128.46,126.6,127.79
25/07/2014,127.41,128.31,127.35,127.56
24/07/2014,127.01,128.29,126.01,127.92
23/07/2014,124.96,127.97,124.93,126.61
22/07/2014,125.52,127.01,125.21,126.53
21/07/2014,123.74,125.3,123.38,125.12
18/07/2014,123,124.4,122.8,123.87
17/07/2014,122.42,124,122.35,122.56
16/07/2014,123.44,123.64,122.68,123.19
15/07/2014,122.69,123.82,122.44,123.15
14/07/2014,121.57,122.7,121.41,122.34
11/07/2014,120.21,121.9,119.6,121.67
10/07/2014,118.23,120.71,118.23,119.92
09/07/2014,119.79,120.2,119.17,119.8
08/07/2014,119.87,120.43,118.77,119.35
07/07/2014,121,121,119.89,120.11
03/07/2014,120.23,121.5,120.04,121.19
02/07/2014,120.01,120.81,119.54,119.74
01/07/2014,119.33,121.25,118.29,120.43
30/06/2014,121.11,121.14,119.39,119.63
27/06/2014,120.18,120.74,119.93,120.67
26/06/2014,120.81,120.81,119.54,120.4
25/06/2014,120.52,120.98,120.16,120.7
24/06/2014,121.96,122.56,120.56,120.6
23/06/2014,123.59,123.59,122.19,122.53
20/06/2014,123.12,124.11,122.65,123.45
19/06/2014,121.55,122.87,121.18,122.33
18/06/2014,121.01,121.68,120.16,121.44
17/06/2014,121.39,121.84,120.49,121.09
16/06/2014,120.36,122.14,120.36,121.56
13/06/2014,119.96,121.42,119.65,120.8
12/06/2014,121.74,122,119.3,119.53
11/06/2014,122.97,123.46,122.2,122.24
10/06/2014,124.01,124.03,123.03,123.75
09/06/2014,123.75,124.92,123.28,124.46
06/06/2014,123.9,124.56,123.63,124
05/06/2014,122.2,123.83,122.01,123.68
04/06/2014,121.5,122.38,120.92,122.26
03/06/2014,121.15,122.1,120.48,121.49
02/06/2014,121.32,122.28,120.62,121.96
30/05/2014,119.85,121.8,119.69,121.55
29/05/2014,119.65,120.31,119.22,120.2
28/05/2014,120.43,121.6,119.9,120.27
27/05/2014,119.95,120.33,119.21,120.17
23/05/2014,118.82,120.11,118.47,120.02
22/05/2014,118.27,118.89,118.01,118.5
21/05/2014,117.89,118.99,117.89,118.26
20/05/2014,119.05,119.58,117.5,117.68
19/05/2014,119.24,119.79,118.37,119.68
16/05/2014,119.21,119.47,118.3,118.88
15/05/2014,121.68,121.78,119.07,119.19
14/05/2014,123.16,123.16,121.64,121.74
13/05/2014,122.59,123.48,122.22,123.07
12/05/2014,121.41,122.7,121.37,122.44
09/05/2014,121,121.12,120.15,121.06
08/05/2014,121,121.92,120.68,121.23
07/05/2014,120.08,121.07,119.35,120.92
06/05/2014,120.45,120.81,119.54,119.62
05/05/2014,120.38,121.44,120.02,120.95
02/05/2014,120.39,121.32,120,120.73
01/05/2014,121.22,121.55,120.28,120.61
30/04/2014,120.13,121.83,119.71,121.51
29/04/2014,119.53,120.83,119.08,120.46
28/04/2014,119.49,119.78,117.78,119.11
25/04/2014,119.15,119.15,118.14,118.99
24/04/2014,121.75,122,118.35,119.18
23/04/2014,119.26,122.25,117.17,121.66
22/04/2014,122.66,123.39,119.76,119.79
21/04/2014,122.07,122.55,121.55,122.21
17/04/2014,121.42,122.22,117.3,122
16/04/2014,119.58,120.84,118.88,120.6
15/04/2014,118.32,119.29,116.11,118.92
14/04/2014,117.77,118.74,116.83,118
11/04/2014,117.07,118.35,116.62,116.67
10/04/2014,120.38,120.64,117.11,117.16
09/04/2014,119.4,120.39,118.59,120.32
08/04/2014,119.2,119.65,117.64,118.87
07/04/2014,120.57,121.62,119.24,119.29
04/04/2014,125.55,126,120.47,120.69
03/04/2014,124.91,125.13,124.2,125.02
02/04/2014,123.86,125.53,123.55,124.59
01/04/2014,123.16,124,122.75,123.95
31/03/2014,122.61,123.79,122.6,123.38
28/03/2014,120.49,122.59,120.42,121.81
27/03/2014,121.14,121.27,119.68,119.94
26/03/2014,122.34,123.48,121.64,121.66
25/03/2014,121.81,122.41,121.31,122.13
24/03/2014,122.06,122.37,119.92,121.02
21/03/2014,123.4,123.55,121.45,121.88
20/03/2014,122.74,123.6,122.12,122.34
19/03/2014,124.34,125.36,122.12,122.88
18/03/2014,122.97,124.06,122.9,123.99
17/03/2014,121.78,122.66,121.11,122.51
14/03/2014,120.9,122.57,120.7,121.44
13/03/2014,122.56,124.15,120.75,120.94
12/03/2014,121.29,122.63,120.44,122.42
11/03/2014,122.94,123.1,121.55,121.77
10/03/2014,123.58,123.85,122.07,122.72
07/03/2014,124.22,125.37,123.85,124.3
06/03/2014,123.66,124.19,123.14,123.69
05/03/2014,124.55,124.71,123.07,123.65
04/03/2014,123,124.53,122.94,124.25
03/03/2014,119.74,121.79,119.69,121.02
28/02/2014,119.68,121.83,119.51,121.03
27/02/2014,118.51,120.07,118.1,120.02
26/02/2014,120.05,120.69,118.67,118.72
25/02/2014,122,122.68,119.45,119.68
24/02/2014,120.76,123.3,120.76,122.12
21/02/2014,121.45,121.45,119.14,120.47
20/02/2014,120.96,121.19,118.97,120.61
19/02/2014,119.99,121.37,118.91,119.05
18/02/2014,120.54,120.86,119.62,120.06
14/02/2014,118.68,120.79,117.98,120.28
13/02/2014,117.04,119.3,117,118.86
12/02/2014,117.06,118.32,116.82,118.07
11/02/2014,114.34,117.4,114.31,116.9
10/02/2014,114.72,114.97,113.12,114.32
07/02/2014,113.08,115.99,112.94,114.97
06/02/2014,111.72,112.79,111.46,112.28
05/02/2014,110.13,112.05,109.7,111.4
04/02/2014,111.01,111.99,109.17,110.8
03/02/2014,116.09,117.21,112.17,113.25
31/01/2014,112.27,116.55,112.02,115.55
30/01/2014,123.65,123.65,112.04,113.25
29/01/2014,111.08,112.78,110.5,112.13
28/01/2014,113.44,113.59,111.66,112.01
27/01/2014,113.45,113.92,111.47,112.7
24/01/2014,116.68,116.71,113.43,113.45
23/01/2014,119.4,120.68,117.45,117.5
22/01/2014,119.8,120.43,118.86,120.32
21/01/2014,119.06,120.44,118.51,119.19
17/01/2014,118.27,118.66,117.82,118.24
16/01/2014,117.93,118.55,117.46,118.29
15/01/2014,117.14,118.46,117.01,117.88
14/01/2014,116.31,117.16,115.18,117.11
13/01/2014,116.44,117.53,115.28,115.63
10/01/2014,115.99,116.57,115.02,116.37
09/01/2014,115.5,116.27,115.25,115.63
08/01/2014,114.23,115.33,113.65,115.19
07/01/2014,113.81,114.92,113.15,114.51
06/01/2014,114.01,115.09,113.43,113.8
03/01/2014,113.23,114.46,113.23,113.58
02/01/2014,114.18,114.49,112.76,113.23
31/12/2013,114.25,114.78,113.85,114.61
30/12/2013,114.72,115.07,113.52,113.93
27/12/2013,115.52,116.19,114.12,114.7
26/12/2013,114.45,115.88,114.37,115.32
24/12/2013,112.56,114.3,112.56,114.22
23/12/2013,113,113.26,112.04,112.53
20/12/2013,110.66,113.05,110.31,112.26
19/12/2013,111.45,111.85,110.17,110.55
18/12/2013,109.93,111.52,108.47,111.48
17/12/2013,109.82,110.14,109.34,109.57
16/12/2013,108.96,110,108.42,109.66
13/12/2013,108.16,109.24,107.79,108.92
12/12/2013,107.65,108.32,107.21,108.03
11/12/2013,110.29,110.5,107.22,107.52
10/12/2013,109.85,110.54,109.56,110.13
09/12/2013,110.18,110.35,109.16,109.94
06/12/2013,110.07,110.35,109.24,110.26
05/12/2013,110.08,111.17,109.43,109.54
04/12/2013,111.99,112.76,109.66,110.49
03/12/2013,111.97,113.24,111.51,112.52
02/12/2013,112.6,113.15,111.61,111.82
29/11/2013,113.98,114.48,112.5,112.68
27/11/2013,111.86,114.33,111.66,113.95
26/11/2013,111.65,112.4,111.65,111.97
25/11/2013,112.12,112.53,110.97,111.65
22/11/2013,110.39,112.25,110.34,112.01
21/11/2013,110.35,111.05,110.21,110.77
20/11/2013,110.16,110.66,109.48,109.78
19/11/2013,110.76,111.14,109.86,110.25
18/11/2013,110.48,111.34,110.08,110.58
15/11/2013,109.63,109.71,108.34,109.53
14/11/2013,109.98,110.17,109.14,110.1
13/11/2013,109.01,109.32,106.67,109.31
12/11/2013,110,110.01,109,109.35
11/11/2013,110.23,110.29,109.61,110.17
08/11/2013,108.73,110.76,108.61,110.73
07/11/2013,109.68,110.47,108.58,108.67
06/11/2013,109.33,109.89,108.61,109.62
05/11/2013,108.49,109.65,108.21,109.12
04/11/2013,108.45,109.25,108.36,108.65
01/11/2013,107.57,109.41,107.53,108.12
31/10/2013,107.74,108.69,107.28,107.51
30/10/2013,108.55,108.86,107.2,107.6
29/10/2013,107.89,108.4,106.93,108.31
28/10/2013,108.09,108.33,107.63,107.86
25/10/2013,107.28,108.78,106.88,108.37
24/10/2013,105.96,108.01,105.69,107.48
23/10/2013,102.5,105.71,102.25,105.56
22/10/2013,100.66,101.9,100.63,101.46
21/10/2013,101.74,101.8,99.89,100.2
18/10/2013,100.88,101.6,100.45,101.59
17/10/2013,98.51,100.73,98.13,100.73
16/10/2013,98.02,98.72,97.83,98.68
15/10/2013,98.83,98.91,97.15,97.35
14/10/2013,97.7,99.03,97.16,98.81
11/10/2013,97.15,98.41,97.06,98.36
10/10/2013,94.85,97.11,94.82,97.1
09/10/2013,94.1,94.64,93.33,94.1
08/10/2013,94.8,95,93.69,94.09
07/10/2013,92.92,95.56,92.82,94.98
04/10/2013,93.09,93.53,92.51,93.32
03/10/2013,95.09,95.09,92.61,93.08
02/10/2013,95.84,95.9,94.38,95.18
01/10/2013,95.19,96.19,95,96.14
30/09/2013,95.45,95.76,95.15,95.26
27/09/2013,96.11,96.49,95.64,96.25
26/09/2013,95.69,96.45,95.56,96.37
25/09/2013,96.04,96.12,95.47,95.73
24/09/2013,96.04,96.46,95.76,95.95
23/09/2013,96.3,96.73,95.4,95.86
20/09/2013,98.29,98.3,96.09,96.3
19/09/2013,98.61,99.1,98.02,98.05
18/09/2013,98.72,99.05,97.44,98.59
17/09/2013,97.72,98.83,97.6,98.75
